,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,8389,549,8389,(X)
Estimate Households By Type Total Households Married-Couple Household,2817,393,33.6,4.3
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,798,262,9.5,3.0
Estimate Households By Type Total Households Cohabiting Couple Household,515,204,6.1,2.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,222,140,2.6,1.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1642,367,19.6,4.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",247,200,2.9,2.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1087,259,13.0,3.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",197,96,2.3,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",3415,490,40.7,4.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",1001,343,11.9,3.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1745,317,20.8,3.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",871,289,10.4,3.4
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,2629,502,31.3,5.2
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2252,361,26.8,4.1
Estimate Households By Type Total Households Average Household Size,2.16,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.68,0.13,(X),(X)
Estimate Relationship Population In Households,18117,1417,18117,(X)
Estimate Relationship Population In Households Householder,8389,549,46.3,2.4
Estimate Relationship Population In Households Spouse,2836,408,15.7,1.9
Estimate Relationship Population In Households Unmarried Partner,525,205,2.9,1.1
Estimate Relationship Population In Households Child,4729,662,26.1,2.5
Estimate Relationship Population In Households Other Relatives,995,391,5.5,1.9
Estimate Relationship Population In Households Other Nonrelatives,643,279,3.5,1.6
Estimate Marital Status Males 15 Years And Over,6634,652,6634,(X)
Estimate Marital Status Males 15 Years And Over Never Married,2777,462,41.9,5.1
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3011,453,45.4,5.7
Estimate Marital Status Males 15 Years And Over Separated,136,103,2.1,1.5
Estimate Marital Status Males 15 Years And Over Widowed,69,61,1.0,0.9
Estimate Marital Status Males 15 Years And Over Divorced,641,189,9.7,2.7
Estimate Marital Status Females 15 Years And Over,8507,811,8507,(X)
Estimate Marital Status Females 15 Years And Over Never Married,3281,494,38.6,4.4
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3189,468,37.5,4.9
Estimate Marital Status Females 15 Years And Over Separated,261,280,3.1,3.1
Estimate Marital Status Females 15 Years And Over Widowed,794,268,9.3,3.2
Estimate Marital Status Females 15 Years And Over Divorced,982,222,11.5,2.5
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,140,78,140,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",83,57,59.3,29.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",27,18,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",31,17,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,55,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",70,40,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",4,7,(X),(X)
