,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,13808,458,13808,(X)
Estimate Households By Type Total Households Married-Couple Household,8513,385,61.7,3.3
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,4376,352,31.7,3.0
Estimate Households By Type Total Households Cohabiting Couple Household,624,193,4.5,1.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,89,66,0.6,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1667,368,12.1,2.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",119,75,0.9,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1212,312,8.8,2.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",302,172,2.2,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",3004,394,21.8,2.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",585,158,4.2,1.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1697,302,12.3,2.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",918,222,6.6,1.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,5447,328,39.4,3.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,3978,357,28.8,2.3
Estimate Households By Type Total Households Average Household Size,2.76,0.09,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.27,0.10,(X),(X)
Estimate Relationship Population In Households,38155,101,38155,(X)
Estimate Relationship Population In Households Householder,13808,458,36.2,1.2
Estimate Relationship Population In Households Spouse,8625,357,22.6,0.9
Estimate Relationship Population In Households Unmarried Partner,646,210,1.7,0.6
Estimate Relationship Population In Households Child,12622,544,33.1,1.4
Estimate Relationship Population In Households Other Relatives,1964,373,5.1,1.0
Estimate Relationship Population In Households Other Nonrelatives,490,237,1.3,0.6
Estimate Marital Status Males 15 Years And Over,14400,545,14400,(X)
Estimate Marital Status Males 15 Years And Over Never Married,3726,542,25.9,3.2
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",9245,379,64.2,3.0
Estimate Marital Status Males 15 Years And Over Separated,265,222,1.8,1.6
Estimate Marital Status Males 15 Years And Over Widowed,265,115,1.8,0.8
Estimate Marital Status Males 15 Years And Over Divorced,899,266,6.2,1.8
Estimate Marital Status Females 15 Years And Over,16182,605,16182,(X)
Estimate Marital Status Females 15 Years And Over Never Married,4021,587,24.8,3.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",9114,423,56.3,3.4
Estimate Marital Status Females 15 Years And Over Separated,91,80,0.6,0.5
Estimate Marital Status Females 15 Years And Over Widowed,1139,244,7.0,1.5
Estimate Marital Status Females 15 Years And Over Divorced,1817,364,11.2,2.2
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,441,140,441,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",76,58,17.2,12.3
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",19,15,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",50,16,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,30,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",93,37,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",31,15,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,862,246,862,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,124,110,14.4,12.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,73,90,8.5,10.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,19,29,2.2,3.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,32,38,3.7,4.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,28,0.0,4.5
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,124,110,124,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,79,65,63.7,18.2
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,89,103,71.8,35.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School,10140,608,10140,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",901,291,8.9,2.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,617,294,6.1,2.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),4444,559,43.8,5.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),2331,326,23.0,3.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,1847,357,18.2,3.3
Estimate Educational Attainment Population 25 Years And Over,26184,568,26184,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,560,213,2.1,0.8
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",657,228,2.5,0.9
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),3813,503,14.6,1.9
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",2914,389,11.1,1.4
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,1638,268,6.3,1.0
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,7988,686,30.5,2.5
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,8614,757,32.9,2.9
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,24967,652,95.4,1.3
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,16602,782,63.4,2.8
Estimate Veteran Status Civilian Population 18 Years And Over,28916,590,28916,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,1545,292,5.3,1.0
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,38210,92,38210,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,3440,491,9.0,1.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,9375,588,9375,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,297,129,3.2,1.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,23064,636,23064,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,1386,303,6.0,1.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,5771,460,5771,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,1757,326,30.4,5.1
