,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,5573,286,5573,(X)
Estimate Households By Type Total Households Married-Couple Household,3086,171,55.4,4.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1101,150,19.8,3.0
Estimate Households By Type Total Households Cohabiting Couple Household,213,104,3.8,1.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,56,43,1.0,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",951,212,17.1,3.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",18,19,0.3,0.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",822,207,14.7,3.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",264,98,4.7,1.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1323,246,23.7,3.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",184,72,3.3,1.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",968,221,17.4,3.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",719,174,12.9,2.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1436,145,25.8,3.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2236,217,40.1,2.8
Estimate Households By Type Total Households Average Household Size,2.44,0.13,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.11,0.14,(X),(X)
Estimate Relationship Population In Households,13607,142,13607,(X)
Estimate Relationship Population In Households Householder,5573,286,41.0,2.1
Estimate Relationship Population In Households Spouse,3040,176,22.3,1.2
Estimate Relationship Population In Households Unmarried Partner,211,108,1.6,0.8
Estimate Relationship Population In Households Child,4050,348,29.8,2.5
Estimate Relationship Population In Households Other Relatives,432,183,3.2,1.4
Estimate Relationship Population In Households Other Nonrelatives,301,171,2.2,1.2
Estimate Marital Status Males 15 Years And Over,5427,298,5427,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1366,259,25.2,4.2
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3173,193,58.5,4.0
Estimate Marital Status Males 15 Years And Over Separated,60,43,1.1,0.8
Estimate Marital Status Males 15 Years And Over Widowed,154,74,2.8,1.4
Estimate Marital Status Males 15 Years And Over Divorced,674,209,12.4,3.6
Estimate Marital Status Females 15 Years And Over,6224,320,6224,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1561,269,25.1,3.5
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3206,189,51.5,4.2
Estimate Marital Status Females 15 Years And Over Separated,86,53,1.4,0.9
Estimate Marital Status Females 15 Years And Over Widowed,587,161,9.4,2.5
Estimate Marital Status Females 15 Years And Over Divorced,784,208,12.6,3.2
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,140,68,140,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",16,21,11.4,14.1
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",10,13,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",48,23,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,77,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",58,44,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",58,37,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,136,90,136,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,45,46,33.1,32.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,12,19,8.8,16.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,33,40,24.3,29.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,21,0.0,25.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,21,0.0,25.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,45,46,45,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,28,29,62.2,23.9
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,33,40,73.3,45.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School,3148,351,3148,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",173,84,5.5,2.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,228,130,7.2,4.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1174,225,37.3,6.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),753,160,23.9,3.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,820,198,26.0,5.2
Estimate Educational Attainment Population 25 Years And Over,9989,401,9989,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,85,47,0.9,0.5
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",142,84,1.4,0.8
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),1744,403,17.5,3.9
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1527,366,15.3,3.5
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,935,235,9.4,2.2
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,3175,350,31.8,3.5
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,2381,327,23.8,3.3
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,9762,413,97.7,1.0
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,5556,433,55.6,4.4
Estimate Veteran Status Civilian Population 18 Years And Over,11064,332,11064,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,609,167,5.5,1.5
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,13709,51,13709,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,1063,233,7.8,1.7
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,2658,330,2658,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,100,68,3.8,2.8
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,8085,347,8085,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,306,130,3.8,1.6
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,2966,314,2966,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,657,187,22.2,5.6
Estimate Residence 1 Year Ago Population 1 Year And Over,13592,88,13592,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,12789,215,94.1,1.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),803,211,5.9,1.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,783,204,5.8,1.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,473,194,3.5,1.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,310,125,2.3,0.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,157,90,1.2,0.7
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,153,106,1.1,0.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,20,33,0.1,0.2
Estimate Place Of Birth Total Population,13740,33,13740,(X)
Estimate Place Of Birth Total Population Native,12923,291,94.1,2.1
Estimate Place Of Birth Total Population Native Born In United States,12800,293,93.2,2.1
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,9303,428,67.7,3.1
Estimate Place Of Birth Total Population Native Born In United States Different State,3497,413,25.5,3.0
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",123,61,0.9,0.4
Estimate Place Of Birth Total Population Foreign Born,817,286,5.9,2.1
Estimate U.S. Citizenship Status Foreign-Born Population,817,286,817,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,533,212,65.2,13.0
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,284,146,34.8,13.0
Estimate Year Of Entry Population Born Outside The United States,940,288,940,(X)
Estimate Year Of Entry Population Born Outside The United States Native,123,61,123,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,0,21,0.0,27.2
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,123,61,100.0,27.2
Estimate Year Of Entry Population Born Outside The United States Foreign Born,817,286,817,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,146,92,17.9,10.3
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,671,256,82.1,10.3
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",817,286,817,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",208,106,25.5,11.2
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",286,150,35.0,14.1
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",1,3,0.1,0.3
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",0,21,0.0,4.8
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",263,166,32.2,15.8
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",59,59,7.2,6.9
Estimate Language Spoken At Home Population 5 Years And Over,13228,186,13228,(X)
Estimate Language Spoken At Home Population 5 Years And Over English Only,12315,409,93.1,2.6
Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English,913,340,6.9,2.6
"Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English Speak English Less Than ""Very Well""",230,148,1.7,1.1
Estimate Language Spoken At Home Population 5 Years And Over Spanish,305,195,2.3,1.5
"Estimate Language Spoken At Home Population 5 Years And Over Spanish Speak English Less Than ""Very Well""",57,46,0.4,0.3
Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages,369,159,2.8,1.2
"Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages Speak English Less Than ""Very Well""",106,115,0.8,0.9
Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages,239,179,1.8,1.3
"Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages Speak English Less Than ""Very Well""",67,78,0.5,0.6
Estimate Language Spoken At Home Population 5 Years And Over Other Languages,0,21,0.0,0.3
"Estimate Language Spoken At Home Population 5 Years And Over Other Languages Speak English Less Than ""Very Well""",0,21,0.0,0.3
Estimate Ancestry Total Population,13740,33,13740,(X)
Estimate Ancestry Total Population American,633,321,4.6,2.3
Estimate Ancestry Total Population Arab,54,38,0.4,0.3
Estimate Ancestry Total Population Czech,0,21,0.0,0.3
Estimate Ancestry Total Population Danish,39,46,0.3,0.3
Estimate Ancestry Total Population Dutch,151,91,1.1,0.7
Estimate Ancestry Total Population English,2053,346,14.9,2.5
Estimate Ancestry Total Population French (Except Basque),1027,311,7.5,2.3
Estimate Ancestry Total Population French Canadian,493,235,3.6,1.7
Estimate Ancestry Total Population German,1250,400,9.1,2.9
Estimate Ancestry Total Population Greek,542,250,3.9,1.8
Estimate Ancestry Total Population Hungarian,13,21,0.1,0.2
Estimate Ancestry Total Population Irish,3154,536,23.0,3.9
Estimate Ancestry Total Population Italian,1758,462,12.8,3.4
Estimate Ancestry Total Population Lithuanian,63,56,0.5,0.4
Estimate Ancestry Total Population Norwegian,125,74,0.9,0.5
Estimate Ancestry Total Population Polish,868,334,6.3,2.4
Estimate Ancestry Total Population Portuguese,185,123,1.3,0.9
Estimate Ancestry Total Population Russian,254,302,1.8,2.2
Estimate Ancestry Total Population Scotch-Irish,412,294,3.0,2.1
Estimate Ancestry Total Population Scottish,444,139,3.2,1.0
Estimate Ancestry Total Population Slovak,31,41,0.2,0.3
Estimate Ancestry Total Population Subsaharan African,8,13,0.1,0.1
Estimate Ancestry Total Population Swedish,256,121,1.9,0.9
Estimate Ancestry Total Population Swiss,37,35,0.3,0.3
Estimate Ancestry Total Population Ukrainian,83,78,0.6,0.6
Estimate Ancestry Total Population Welsh,22,24,0.2,0.2
Estimate Ancestry Total Population West Indian (Excluding Hispanic Origin Groups),90,124,0.7,0.9
Estimate Computers And Internet Use Total Households,5573,286,5573,(X)
Estimate Computers And Internet Use Total Households With A Computer,5265,290,94.5,1.8
Estimate Computers And Internet Use Total Households With A Broadband Internet Subscription,5053,285,90.7,2.2
