,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,4648,230,4648,(X)
Estimate Households By Type Total Households Married-Couple Household,2334,261,50.2,5.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,984,223,21.2,4.9
Estimate Households By Type Total Households Cohabiting Couple Household,372,123,8.0,2.7
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,47,46,1.0,1.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",728,180,15.7,3.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",80,78,1.7,1.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",465,129,10.0,2.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",238,98,5.1,2.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1214,271,26.1,5.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",171,89,3.7,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",753,203,16.2,3.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",365,137,7.9,2.8
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1433,218,30.8,4.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1690,218,36.4,4.1
Estimate Households By Type Total Households Average Household Size,2.50,0.12,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.03,0.15,(X),(X)
Estimate Relationship Population In Households,11634,27,11634,(X)
Estimate Relationship Population In Households Householder,4648,230,40.0,2.0
Estimate Relationship Population In Households Spouse,2335,262,20.1,2.2
Estimate Relationship Population In Households Unmarried Partner,378,129,3.2,1.1
Estimate Relationship Population In Households Child,3183,336,27.4,2.9
Estimate Relationship Population In Households Other Relatives,662,282,5.7,2.4
Estimate Relationship Population In Households Other Nonrelatives,428,278,3.7,2.4
Estimate Marital Status Males 15 Years And Over,4499,241,4499,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1325,290,29.5,5.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2443,248,54.3,5.6
Estimate Marital Status Males 15 Years And Over Separated,76,59,1.7,1.3
Estimate Marital Status Males 15 Years And Over Widowed,238,103,5.3,2.3
Estimate Marital Status Males 15 Years And Over Divorced,417,138,9.3,3.2
Estimate Marital Status Females 15 Years And Over,5262,283,5262,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1237,266,23.5,4.6
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2598,242,49.4,5.3
Estimate Marital Status Females 15 Years And Over Separated,89,45,1.7,0.9
Estimate Marital Status Females 15 Years And Over Widowed,652,200,12.4,3.6
Estimate Marital Status Females 15 Years And Over Divorced,686,177,13.0,3.1
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,156,87,156,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",34,37,21.8,22.2
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",26,28,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",61,36,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,118,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",85,70,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",58,44,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,245,149,245,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,122,118,49.8,33.9
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,15.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,16,26,6.5,10.9
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,98,114,40.0,34.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,8,15,3.3,6.9
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,122,118,122,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,73,65,59.8,14.7
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,81,81,66.4,22.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School,2588,410,2588,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",76,51,2.9,2.1
