,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,14628,624,14628,(X)
Estimate Households By Type Total Households Married-Couple Household,5444,501,37.2,3.2
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2355,306,16.1,2.0
Estimate Households By Type Total Households Cohabiting Couple Household,1205,229,8.2,1.6
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,262,116,1.8,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",3240,438,22.1,2.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",266,131,1.8,0.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",2325,350,15.9,2.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",766,214,5.2,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",4739,480,32.4,3.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",1109,287,7.6,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",2561,354,17.5,2.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",1087,240,7.4,1.6
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,4369,416,29.9,2.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,3992,287,27.3,1.9
Estimate Households By Type Total Households Average Household Size,2.46,0.08,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.19,0.09,(X),(X)
Estimate Relationship Population In Households,36011,1615,36011,(X)
Estimate Relationship Population In Households Householder,14628,624,40.6,1.4
Estimate Relationship Population In Households Spouse,5387,463,15.0,1.0
Estimate Relationship Population In Households Unmarried Partner,1247,224,3.5,0.6
Estimate Relationship Population In Households Child,10781,943,29.9,1.7
Estimate Relationship Population In Households Other Relatives,2524,398,7.0,1.1
Estimate Relationship Population In Households Other Nonrelatives,1444,311,4.0,0.9
Estimate Marital Status Males 15 Years And Over,14204,804,14204,(X)
Estimate Marital Status Males 15 Years And Over Never Married,5947,542,41.9,3.0
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",6264,604,44.1,3.5
Estimate Marital Status Males 15 Years And Over Separated,223,109,1.6,0.8
Estimate Marital Status Males 15 Years And Over Widowed,375,153,2.6,1.1
Estimate Marital Status Males 15 Years And Over Divorced,1395,319,9.8,2.1
Estimate Marital Status Females 15 Years And Over,15323,765,15323,(X)
Estimate Marital Status Females 15 Years And Over Never Married,5686,639,37.1,3.1
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",5839,535,38.1,3.2
Estimate Marital Status Females 15 Years And Over Separated,307,133,2.0,0.9
Estimate Marital Status Females 15 Years And Over Widowed,1346,194,8.8,1.3
Estimate Marital Status Females 15 Years And Over Divorced,2145,313,14.0,2.1
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,535,285,535,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",349,221,65.2,21.4
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",61,38,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",58,30,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,32,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",127,66,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",9,10,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,726,330,726,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,150,146,20.7,13.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,91,137,12.5,15.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,21,35,2.9,4.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,9,15,1.2,2.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,29,29,4.0,4.5
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,150,146,150,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,125,141,83.3,28.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,128,143,85.3,23.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School,8133,868,8133,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",338,120,4.2,1.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,453,151,5.6,2.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),3426,612,42.1,4.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1874,410,23.0,4.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,2042,324,25.1,3.5
Estimate Educational Attainment Population 25 Years And Over,25055,1019,25055,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,1950,358,7.8,1.4
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",1806,470,7.2,1.8
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),7925,734,31.6,2.7
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",4086,497,16.3,1.9
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,1760,345,7.0,1.3
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,4234,495,16.9,1.9
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,3294,472,13.1,1.9
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,21299,914,85.0,2.2
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,7528,669,30.0,2.5
Estimate Veteran Status Civilian Population 18 Years And Over,28308,1143,28308,(X)
