Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,20418,1040,20418,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,11602,884,56.8,3.1
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,11602,884,56.8,3.1
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,11178,890,54.7,3.3
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,424,204,2.1,1.0
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,27,0.0,0.2
Estimate Employment Status Population 16 Years And Over Not In Labor Force,8816,772,43.2,3.1
Estimate Employment Status Civilian Labor Force,11602,884,11602,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),3.7,1.7
Estimate Employment Status Females 16 Years And Over,10280,579,10280,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,5290,518,51.5,3.9
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,5290,518,51.5,3.9
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,5192,509,50.5,3.9
Estimate Employment Status Own Children Of The Householder Under 6 Years,2059,296,2059,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,1130,311,54.9,13.0
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,5046,529,5046,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,3237,669,64.1,12.3
Estimate Commuting To Work Workers 16 Years And Over,10933,865,10933,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",9123,834,83.4,4.2
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",726,259,6.6,2.3
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),0,27,0.0,0.4
Estimate Commuting To Work Workers 16 Years And Over Walked,192,151,1.8,1.4
Estimate Commuting To Work Workers 16 Years And Over Other Means,96,81,0.9,0.7
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,796,387,7.3,3.4
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),26.0,2.2,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,11178,890,11178,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",3421,531,30.6,4.0
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,2191,425,19.6,3.6
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,2381,529,21.3,4.2
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",1624,419,14.5,3.6
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",1561,393,14.0,3.4
Estimate Industry Civilian Employed Population 16 Years And Over,11178,890,11178,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",1451,390,13.0,3.4
Estimate Industry Civilian Employed Population 16 Years And Over Construction,1012,329,9.1,2.9
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,583,305,5.2,2.7
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,97,94,0.9,0.8
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,1477,338,13.2,2.9
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",418,204,3.7,1.8
Estimate Industry Civilian Employed Population 16 Years And Over Information,48,72,0.4,0.6
