Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,1358,300,1358,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,533,164,39.2,8.7
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,533,164,39.2,8.7
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,469,148,34.5,8.0
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,64,37,4.7,2.6
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,14,0.0,3.4
Estimate Employment Status Population 16 Years And Over Not In Labor Force,825,217,60.8,8.7
Estimate Employment Status Civilian Labor Force,533,164,533,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),12.0,6.1
Estimate Employment Status Females 16 Years And Over,616,157,616,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,196,94,31.8,12.3
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,196,94,31.8,12.3
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,152,79,24.7,10.8
Estimate Employment Status Own Children Of The Householder Under 6 Years,43,42,43,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,0,14,0.0,54.7
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,262,138,262,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,80,75,30.5,22.2
Estimate Commuting To Work Workers 16 Years And Over,434,144,434,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",354,128,81.6,10.0
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",39,30,9.0,6.0
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),0,14,0.0,10.4
Estimate Commuting To Work Workers 16 Years And Over Walked,0,14,0.0,10.4
Estimate Commuting To Work Workers 16 Years And Over Other Means,20,22,4.6,5.2
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,21,31,4.8,7.1
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),44.5,12.8,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,469,148,469,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",119,74,25.4,13.4
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,77,58,16.4,10.6
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,17,18,3.6,3.9
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",111,55,23.7,10.0
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",145,78,30.9,13.9
Estimate Industry Civilian Employed Population 16 Years And Over,469,148,469,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",43,38,9.2,7.4
Estimate Industry Civilian Employed Population 16 Years And Over Construction,103,65,22.0,11.1
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,25,41,5.3,8.3
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,0,14,0.0,9.6
