Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,13218,420,13218,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,8543,464,64.6,2.6
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,8543,464,64.6,2.6
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,8174,492,61.8,2.9
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,369,163,2.8,1.2
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,23,0.0,0.4
Estimate Employment Status Population 16 Years And Over Not In Labor Force,4675,352,35.4,2.6
Estimate Employment Status Civilian Labor Force,8543,464,8543,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),4.3,1.9
Estimate Employment Status Females 16 Years And Over,6493,248,6493,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,3736,359,57.5,4.7
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,3736,359,57.5,4.7
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,3611,362,55.6,4.7
Estimate Employment Status Own Children Of The Householder Under 6 Years,1095,169,1095,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,884,174,80.7,10.0
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,2506,308,2506,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,2171,368,86.6,7.1
Estimate Commuting To Work Workers 16 Years And Over,8038,480,8038,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",6738,469,83.8,3.9
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",1028,291,12.8,3.4
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),34,50,0.4,0.6
Estimate Commuting To Work Workers 16 Years And Over Walked,27,29,0.3,0.4
Estimate Commuting To Work Workers 16 Years And Over Other Means,14,22,0.2,0.3
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,197,89,2.5,1.1
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),16.3,1.2,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,8174,492,8174,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",2604,404,31.9,3.9
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,1377,321,16.8,3.9
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,1218,277,14.9,3.4
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",1418,323,17.3,3.9
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",1557,321,19.0,3.9
Estimate Industry Civilian Employed Population 16 Years And Over,8174,492,8174,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",429,165,5.2,2.1
Estimate Industry Civilian Employed Population 16 Years And Over Construction,809,243,9.9,2.9
