Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,5098,431,5098,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,2429,285,47.6,4.1
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,2429,285,47.6,4.1
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,2189,272,42.9,3.9
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,240,105,4.7,2.1
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,20,0.0,0.9
Estimate Employment Status Population 16 Years And Over Not In Labor Force,2669,317,52.4,4.1
Estimate Employment Status Civilian Labor Force,2429,285,2429,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),9.9,4.1
Estimate Employment Status Females 16 Years And Over,2702,274,2702,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,1215,180,45.0,5.5
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,1215,180,45.0,5.5
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,1155,162,42.7,4.8
Estimate Employment Status Own Children Of The Householder Under 6 Years,232,105,232,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,133,73,57.3,23.1
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,875,214,875,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,562,180,64.2,13.6
Estimate Commuting To Work Workers 16 Years And Over,2178,275,2178,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",1676,278,77.0,7.6
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",221,119,10.1,5.4
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),0,20,0.0,2.2
Estimate Commuting To Work Workers 16 Years And Over Walked,88,83,4.0,3.7
Estimate Commuting To Work Workers 16 Years And Over Other Means,33,32,1.5,1.5
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,160,104,7.3,4.7
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),22.8,3.8,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,2189,272,2189,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",589,188,26.9,7.8
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,447,144,20.4,5.8
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,396,125,18.1,5.4
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",349,131,15.9,5.1
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",408,120,18.6,5.8
Estimate Industry Civilian Employed Population 16 Years And Over,2189,272,2189,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",171,101,7.8,4.4
Estimate Industry Civilian Employed Population 16 Years And Over Construction,192,114,8.8,5.0
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,254,108,11.6,5.0
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,34,34,1.6,1.6
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,172,93,7.9,4.3
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",135,86,6.2,3.9
Estimate Industry Civilian Employed Population 16 Years And Over Information,17,24,0.8,1.1
"Estimate Industry Civilian Employed Population 16 Years And Over Finance And Insurance, And Real Estate And Rental And Leasing",87,56,4.0,2.5
"Estimate Industry Civilian Employed Population 16 Years And Over Professional, Scientific, And Management, And Administrative And Waste Management Services",164,102,7.5,4.5
"Estimate Industry Civilian Employed Population 16 Years And Over Educational Services, And Health Care And Social Assistance",617,133,28.2,5.7
"Estimate Industry Civilian Employed Population 16 Years And Over Arts, Entertainment, And Recreation, And Accommodation And Food Services",71,57,3.2,2.5
"Estimate Industry Civilian Employed Population 16 Years And Over Other Services, Except Public Administration",205,123,9.4,5.2
Estimate Industry Civilian Employed Population 16 Years And Over Public Administration,70,55,3.2,2.4
Estimate Class Of Worker Civilian Employed Population 16 Years And Over,2189,272,2189,(X)
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Private Wage And Salary Workers,1662,251,75.9,5.8
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Government Workers,265,89,12.1,4.1
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Self-Employed In Own Not Incorporated Business Workers,238,118,10.9,5.2
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Unpaid Family Workers,24,37,1.1,1.7
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households,2492,231,2492,(X)
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Less Than $10,000",326,118,13.1,4.5
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $10,000 To $14,999",152,72,6.1,3.0
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $15,000 To $24,999",250,93,10.0,3.6
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $25,000 To $34,999",261,99,10.5,3.8
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $35,000 To $49,999",528,155,21.2,5.8
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $50,000 To $74,999",374,99,15.0,3.8
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $75,000 To $99,999",250,80,10.0,3.4
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $100,000 To $149,999",253,110,10.2,4.2
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $150,000 To $199,999",3,5,0.1,0.2
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $200,000 Or More",95,65,3.8,2.6
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Median Household Income (Dollars),42279,3985,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Mean Household Income (Dollars),62346,16563,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Earnings,1721,220,69.1,4.9
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Earnings Mean Earnings (Dollars),61406,23575,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Social Security,1199,166,48.1,5.3
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Social Security Mean Social Security Income (Dollars),18596,2076,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Retirement Income,630,164,25.3,6.2
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Retirement Income Mean Retirement Income (Dollars),25560,6897,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Supplemental Security Income,209,104,8.4,4.0
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Supplemental Security Income Mean Supplemental Security Income (Dollars),9231,1990,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Cash Public Assistance Income,20,23,0.8,0.9
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Cash Public Assistance Income Mean Cash Public Assistance Income (Dollars),-999999999,-999999999,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Food Stamp/Snap Benefits In The Past 12 Months,494,129,19.8,5.0
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Families,1782,209,1782,(X)
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Families Less Than $10,000",83,50,4.7,2.8
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Families $10,000 To $14,999",63,44,3.5,2.5
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Families $15,000 To $24,999",151,74,8.5,4.0
