Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,24810,1902,24810,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,17099,1491,68.9,3.0
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,17099,1491,68.9,3.0
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,16351,1386,65.9,2.8
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,748,287,3.0,1.1
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,27,0.0,0.2
Estimate Employment Status Population 16 Years And Over Not In Labor Force,7711,973,31.1,3.0
Estimate Employment Status Civilian Labor Force,17099,1491,17099,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),4.4,1.5
Estimate Employment Status Females 16 Years And Over,12716,1262,12716,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,8123,958,63.9,4.3
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,8123,958,63.9,4.3
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,7734,922,60.8,4.0
Estimate Employment Status Own Children Of The Householder Under 6 Years,2200,486,2200,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,971,321,44.1,14.1
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,2652,554,2652,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,1385,356,52.2,11.3
Estimate Commuting To Work Workers 16 Years And Over,15902,1345,15902,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",12345,1265,77.6,3.5
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",1340,470,8.4,3.0
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),179,123,1.1,0.8
Estimate Commuting To Work Workers 16 Years And Over Walked,227,145,1.4,0.9
Estimate Commuting To Work Workers 16 Years And Over Other Means,227,158,1.4,1.0
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,1584,416,10.0,2.5
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),25.0,1.7,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,16351,1386,16351,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",7524,894,46.0,4.5
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,1668,398,10.2,2.3
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,4288,760,26.2,4.1
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",1145,387,7.0,2.3
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",1726,574,10.6,3.2
Estimate Industry Civilian Employed Population 16 Years And Over,16351,1386,16351,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",1764,601,10.8,3.5
Estimate Industry Civilian Employed Population 16 Years And Over Construction,773,301,4.7,1.7
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,1532,616,9.4,3.6
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,549,274,3.4,1.7
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,1994,600,12.2,3.3
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",1094,298,6.7,1.8
Estimate Industry Civilian Employed Population 16 Years And Over Information,236,166,1.4,1.0
"Estimate Industry Civilian Employed Population 16 Years And Over Finance And Insurance, And Real Estate And Rental And Leasing",1131,327,6.9,2.0
"Estimate Industry Civilian Employed Population 16 Years And Over Professional, Scientific, And Management, And Administrative And Waste Management Services",2760,456,16.9,2.7
