Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,50527,2118,50527,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,35729,1730,70.7,2.1
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,35705,1742,70.7,2.1
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,33479,1781,66.3,2.2
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,2226,542,4.4,1.1
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,24,37,0.0,0.1
Estimate Employment Status Population 16 Years And Over Not In Labor Force,14798,1309,29.3,2.1
Estimate Employment Status Civilian Labor Force,35705,1742,35705,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),6.2,1.5
Estimate Employment Status Females 16 Years And Over,25298,1312,25298,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,16590,1099,65.6,2.4
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,16566,1106,65.5,2.4
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,15566,1067,61.5,2.5
Estimate Employment Status Own Children Of The Householder Under 6 Years,6691,805,6691,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,3801,627,56.8,7.3
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,8505,1032,8505,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,5837,833,68.6,6.0
Estimate Commuting To Work Workers 16 Years And Over,33119,1764,33119,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",24008,1673,72.5,2.7
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",3257,605,9.8,1.8
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),1477,309,4.5,0.9
Estimate Commuting To Work Workers 16 Years And Over Walked,797,247,2.4,0.7
Estimate Commuting To Work Workers 16 Years And Over Other Means,647,200,2.0,0.6
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,2933,520,8.9,1.5
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),27.5,1.1,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,33479,1781,33479,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",10496,1217,31.4,2.9
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,7043,790,21.0,2.3
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,7119,724,21.3,2.2
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",3003,585,9.0,1.7
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",5818,857,17.4,2.1
Estimate Industry Civilian Employed Population 16 Years And Over,33479,1781,33479,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",49,51,0.1,0.2
Estimate Industry Civilian Employed Population 16 Years And Over Construction,2330,546,7.0,1.6
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,2501,458,7.5,1.3
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,602,205,1.8,0.6
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,4179,494,12.5,1.5
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",3585,775,10.7,2.0
Estimate Industry Civilian Employed Population 16 Years And Over Information,488,162,1.5,0.5
"Estimate Industry Civilian Employed Population 16 Years And Over Finance And Insurance, And Real Estate And Rental And Leasing",2474,689,7.4,1.8
"Estimate Industry Civilian Employed Population 16 Years And Over Professional, Scientific, And Management, And Administrative And Waste Management Services",5216,625,15.6,1.9
"Estimate Industry Civilian Employed Population 16 Years And Over Educational Services, And Health Care And Social Assistance",6622,700,19.8,2.0
"Estimate Industry Civilian Employed Population 16 Years And Over Arts, Entertainment, And Recreation, And Accommodation And Food Services",2754,460,8.2,1.3
"Estimate Industry Civilian Employed Population 16 Years And Over Other Services, Except Public Administration",2100,446,6.3,1.4
Estimate Industry Civilian Employed Population 16 Years And Over Public Administration,579,225,1.7,0.6
Estimate Class Of Worker Civilian Employed Population 16 Years And Over,33479,1781,33479,(X)
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Private Wage And Salary Workers,28686,1610,85.7,2.1
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Government Workers,2459,583,7.3,1.7
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Self-Employed In Own Not Incorporated Business Workers,2293,436,6.8,1.2
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Unpaid Family Workers,41,41,0.1,0.1
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households,27814,1015,27814,(X)
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Less Than $10,000",2228,423,8.0,1.5
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $10,000 To $14,999",1408,363,5.1,1.3
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $15,000 To $24,999",3996,605,14.4,2.1
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $25,000 To $34,999",3582,450,12.9,1.6
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $35,000 To $49,999",4386,634,15.8,2.2
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $50,000 To $74,999",5135,570,18.5,2.0
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $75,000 To $99,999",2767,705,9.9,2.4
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $100,000 To $149,999",1902,268,6.8,1.0
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $150,000 To $199,999",893,183,3.2,0.7
