Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,11300,847,11300,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,6372,665,56.4,3.4
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,6372,665,56.4,3.4
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,6154,646,54.5,3.3
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,218,98,1.9,0.9
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,23,0.0,0.4
Estimate Employment Status Population 16 Years And Over Not In Labor Force,4928,481,43.6,3.4
Estimate Employment Status Civilian Labor Force,6372,665,6372,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),3.4,1.5
Estimate Employment Status Females 16 Years And Over,5837,453,5837,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,2867,355,49.1,4.5
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,2867,355,49.1,4.5
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,2724,346,46.7,4.4
Estimate Employment Status Own Children Of The Householder Under 6 Years,1027,301,1027,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,652,236,63.5,15.2
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,2399,463,2399,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,1446,409,60.3,12.7
Estimate Commuting To Work Workers 16 Years And Over,6073,633,6073,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",4784,555,78.8,5.1
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",593,222,9.8,3.5
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),0,23,0.0,0.8
Estimate Commuting To Work Workers 16 Years And Over Walked,115,108,1.9,1.7
Estimate Commuting To Work Workers 16 Years And Over Other Means,105,83,1.7,1.4
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,476,177,7.8,2.8
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),33.4,2.3,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,6154,646,6154,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",1664,389,27.0,5.0
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,1254,266,20.4,4.1
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,1529,307,24.8,4.5
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",776,209,12.6,3.1
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",931,229,15.1,3.5
Estimate Industry Civilian Employed Population 16 Years And Over,6154,646,6154,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",200,117,3.2,1.9
Estimate Industry Civilian Employed Population 16 Years And Over Construction,691,244,11.2,3.6
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,499,182,8.1,2.8
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,125,89,2.0,1.4
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,932,195,15.1,3.2
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",354,127,5.8,1.9
Estimate Industry Civilian Employed Population 16 Years And Over Information,110,102,1.8,1.6
"Estimate Industry Civilian Employed Population 16 Years And Over Finance And Insurance, And Real Estate And Rental And Leasing",486,181,7.9,2.9
"Estimate Industry Civilian Employed Population 16 Years And Over Professional, Scientific, And Management, And Administrative And Waste Management Services",628,188,10.2,2.8
"Estimate Industry Civilian Employed Population 16 Years And Over Educational Services, And Health Care And Social Assistance",1495,322,24.3,4.4
"Estimate Industry Civilian Employed Population 16 Years And Over Arts, Entertainment, And Recreation, And Accommodation And Food Services",298,120,4.8,1.9
"Estimate Industry Civilian Employed Population 16 Years And Over Other Services, Except Public Administration",200,111,3.2,1.8
Estimate Industry Civilian Employed Population 16 Years And Over Public Administration,136,76,2.2,1.2
Estimate Class Of Worker Civilian Employed Population 16 Years And Over,6154,646,6154,(X)
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Private Wage And Salary Workers,4796,559,77.9,3.9
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Government Workers,958,260,15.6,3.8
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Self-Employed In Own Not Incorporated Business Workers,390,139,6.3,2.2
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Unpaid Family Workers,10,17,0.2,0.3
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households,5583,417,5583,(X)
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Less Than $10,000",408,163,7.3,2.8
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $10,000 To $14,999",163,94,2.9,1.7
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $15,000 To $24,999",780,222,14.0,3.8
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $25,000 To $34,999",583,157,10.4,2.6
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $35,000 To $49,999",669,199,12.0,3.5
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $50,000 To $74,999",1101,230,19.7,4.1
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $75,000 To $99,999",723,197,13.0,3.5
