Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,26435,1597,26435,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,17744,1281,67.1,2.3
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,17744,1281,67.1,2.3
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,15951,1151,60.3,2.4
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,1793,499,6.8,1.8
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,30,0.0,0.2
Estimate Employment Status Population 16 Years And Over Not In Labor Force,8691,756,32.9,2.3
Estimate Employment Status Civilian Labor Force,17744,1281,17744,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),10.1,2.6
Estimate Employment Status Females 16 Years And Over,13155,865,13155,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,6995,664,53.2,3.4
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,6995,664,53.2,3.4
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,6122,650,46.5,3.6
Estimate Employment Status Own Children Of The Householder Under 6 Years,4546,981,4546,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,2963,985,65.2,10.8
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,7653,820,7653,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,4975,756,65.0,7.2
Estimate Commuting To Work Workers 16 Years And Over,15553,1142,15553,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",12388,1013,79.7,3.4
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",2070,519,13.3,3.1
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),46,44,0.3,0.3
Estimate Commuting To Work Workers 16 Years And Over Walked,129,115,0.8,0.7
Estimate Commuting To Work Workers 16 Years And Over Other Means,101,91,0.6,0.6
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,819,281,5.3,1.8
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),28.1,2.0,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,15951,1151,15951,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",2224,306,13.9,1.9
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,3582,626,22.5,3.1
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,2909,478,18.2,2.7
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",4194,697,26.3,4.3
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",3042,489,19.1,2.7
Estimate Industry Civilian Employed Population 16 Years And Over,15951,1151,15951,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",256,124,1.6,0.8
Estimate Industry Civilian Employed Population 16 Years And Over Construction,3096,450,19.4,2.8
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,1929,405,12.1,2.3
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,329,154,2.1,1.0
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,2028,459,12.7,2.6
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",1023,316,6.4,1.9
Estimate Industry Civilian Employed Population 16 Years And Over Information,229,140,1.4,0.9
"Estimate Industry Civilian Employed Population 16 Years And Over Finance And Insurance, And Real Estate And Rental And Leasing",430,154,2.7,1.0
"Estimate Industry Civilian Employed Population 16 Years And Over Professional, Scientific, And Management, And Administrative And Waste Management Services",1436,379,9.0,2.3
"Estimate Industry Civilian Employed Population 16 Years And Over Educational Services, And Health Care And Social Assistance",2642,541,16.6,3.2
"Estimate Industry Civilian Employed Population 16 Years And Over Arts, Entertainment, And Recreation, And Accommodation And Food Services",1274,367,8.0,2.2
"Estimate Industry Civilian Employed Population 16 Years And Over Other Services, Except Public Administration",990,516,6.2,3.2
Estimate Industry Civilian Employed Population 16 Years And Over Public Administration,289,130,1.8,0.8
Estimate Class Of Worker Civilian Employed Population 16 Years And Over,15951,1151,15951,(X)
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Private Wage And Salary Workers,13481,1011,84.5,2.5
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Government Workers,1456,340,9.1,1.9
