"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01089!!Estimate","ZCTA5 01089!!Margin of Error","ZCTA5 01089!!Percent","ZCTA5 01089!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","12,734","±531","12,734","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","5,226","±418","41.0%","±3.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,388","±385","18.8%","±3.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","840","±256","6.6%","±2.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","260","±180","2.0%","±1.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","3,108","±525","24.4%","±3.8"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","33","±37","0.3%","±0.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,464","±476","19.3%","±3.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","627","±164","4.9%","±1.2"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","3,560","±555","28.0%","±3.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","354","±164","2.8%","±1.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,575","±490","20.2%","±3.4"
"                65 years and over","221,896","±3,548","8.2%","±0.1","993","±193","7.8%","±1.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,216","±364","25.3%","±3.1"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,358","±300","26.4%","±2.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.25","±0.09","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.12","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","28,693","±106","28,693","(X)"
