"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01330!!Estimate","ZCTA5 01330!!Margin of Error","ZCTA5 01330!!Percent","ZCTA5 01330!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","704","±90","704","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","346","±61","49.1%","±8.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","68","±25","9.7%","±3.6"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","103","±42","14.6%","±5.4"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","16","±21","2.3%","±3.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","159","±72","22.6%","±8.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±5.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","111","±60","15.8%","±7.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","51","±48","7.2%","±6.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","96","±31","13.6%","±4.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","19","±11","2.7%","±1.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","66","±26","9.4%","±3.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","21","±11","3.0%","±1.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","109","±33","15.5%","±4.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","288","±74","40.9%","±8.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.19","±0.20","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.51","±0.22","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,539","±189","1,539","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","704","±90","45.7%","±4.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","324","±52","21.1%","±3.0"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","108","±51","7.0%","±2.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","309","±76","20.1%","±3.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","36","±24","2.3%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","58","±41","3.8%","±2.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","761","±110","761","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","238","±73","31.3%","±7.1"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","348","±53","45.7%","±7.8"
"        Separated","37,600","±1,670","1.3%","±0.1","3","±4","0.4%","±0.6"
"        Widowed","65,484","±1,934","2.3%","±0.1","36","±27","4.7%","±3.3"
"        Divorced","227,113","±4,005","8.0%","±0.1","136","±73","17.9%","±8.8"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","643","±86","643","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","175","±44","27.2%","±6.1"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","337","±62","52.4%","±7.7"
"        Separated","55,256","±1,859","1.8%","±0.1","3","±4","0.5%","±0.6"
"        Widowed","239,073","±3,906","7.9%","±0.1","26","±16","4.0%","±2.3"
"        Divorced","324,764","±4,024","10.7%","±0.1","102","±45","15.9%","±6.1"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","15","±17","15","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±84.9"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±241","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","62","±65","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±611","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","185","±176","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±258","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","8","±7","8","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","5","±7","62.5%","±62.1"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","0.0%","±100.0"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±100.0"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±100.0"
"            5 or more years","13,647","±1,024","10.9%","±0.8","5","±7","62.5%","±62.1"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","5","±7","5","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","3","±4","60.0%","±39.9"
"        Who are married","19,550","±1,487","64.5%","±2.5","5","±7","100.0%","±100.0"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","203","±65","203","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","15","±14","7.4%","±7.5"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","0","±13","0.0%","±17.8"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","87","±51","42.9%","±16.5"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","47","±22","23.2%","±10.4"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","54","±26","26.6%","±12.1"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","1,296","±154","1,296","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","12","±16","0.9%","±1.2"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","21","±21","1.6%","±1.6"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","322","±84","24.8%","±5.4"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","157","±55","12.1%","±3.8"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","150","±63","11.6%","±4.6"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","300","±67","23.1%","±4.6"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","334","±78","25.8%","±5.6"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","1,263","±152","97.5%","±2.0"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","634","±100","48.9%","±6.3"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","1,376","±161","1,376","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","125","±57","9.1%","±4.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","1,542","±188","1,542","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","223","±59","14.5%","±3.4"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","166","±61","166","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","14","±15","8.4%","±8.9"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","992","±152","992","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","122","±63","12.3%","±5.5"
"    65 years and over","1,122,280","±664","1,122,280","(X)","384","±89","384","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","87","±46","22.7%","±9.8"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","1,522","±183","1,522","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","1,420","±192","93.3%","±3.7"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","102","±54","6.7%","±3.7"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","99","±54","6.5%","±3.7"
"                Same county","446,141","±8,933","6.4%","±0.1","20","±16","1.3%","±1.1"
"                Different county","354,693","±6,215","5.1%","±0.1","79","±52","5.2%","±3.5"
"                    Same state","205,752","±5,091","3.0%","±0.1","29","±23","1.9%","±1.5"
"                    Different state","148,941","±3,990","2.2%","±0.1","50","±45","3.3%","±3.1"
"            Abroad","61,536","±2,941","0.9%","±0.1","3","±4","0.2%","±0.3"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","1,542","±188","1,542","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","1,478","±191","95.8%","±2.5"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","1,460","±189","94.7%","±2.8"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","900","±155","58.4%","±5.5"
"                Different state","1,398,292","±9,460","20.0%","±0.1","560","±93","36.3%","±5.0"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","18","±13","1.2%","±0.8"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","64","±38","4.2%","±2.5"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","64","±38","64","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","40","±31","62.5%","±24.9"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","24","±20","37.5%","±24.9"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","82","±42","82","(X)"
"        Native","209,292","±4,176","209,292","(X)","18","±13","18","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","1","±2","5.6%","±13.4"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","17","±13","94.4%","±13.4"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","64","±38","64","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","4","±6","6.3%","±8.6"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","60","±37","93.8%","±8.6"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","64","±38","64","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","13","±10","20.3%","±16.2"
"        Asia","372,717","±3,581","30.8%","±0.3","15","±19","23.4%","±23.3"
"        Africa","113,823","±3,313","9.4%","±0.3","0","±13","0.0%","±41.1"
"        Oceania","4,098","±490","0.3%","±0.1","8","±11","12.5%","±15.1"
"        Latin America","456,601","±7,328","37.7%","±0.5","24","±25","37.5%","±27.0"
"        Northern America","28,855","±1,370","2.4%","±0.1","4","±6","6.3%","±8.6"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","1,509","±180","1,509","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","1,472","±182","97.5%","±1.3"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","37","±19","2.5%","±1.3"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","0","±13","0.0%","±2.6"
"        Spanish","623,189","±4,858","9.4%","±0.1","12","±9","0.8%","±0.6"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","0","±13","0.0%","±2.6"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","21","±14","1.4%","±1.0"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","0","±13","0.0%","±2.6"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","4","±9","0.3%","±0.6"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","0","±13","0.0%","±2.6"
"        Other languages","99,560","±3,943","1.5%","±0.1","0","±13","0.0%","±2.6"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","0","±13","0.0%","±2.6"
"ANCESTRY","","","","","","","",""
