"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01827!!Estimate","ZCTA5 01827!!Margin of Error","ZCTA5 01827!!Percent","ZCTA5 01827!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,136","±48","1,136","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","853","±77","75.1%","±6.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","359","±61","31.6%","±5.6"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","65","±48","5.7%","±4.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","33","±45","2.9%","±3.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","119","±49","10.5%","±4.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","5","±9","0.4%","±0.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","61","±33","5.4%","±2.8"
"                65 years and over","102,147","±2,741","3.8%","±0.1","30","±16","2.6%","±1.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","99","±35","8.7%","±3.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","5","±7","0.4%","±0.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","59","±29","5.2%","±2.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","41","±27","3.6%","±2.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","425","±68","37.4%","±6.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","339","±75","29.8%","±6.1"
"        Average household size","2.48","±0.01","(X)","(X)","2.97","±0.13","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.13","±0.17","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","3,369","±29","3,369","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,136","±48","33.7%","±1.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","845","±72","25.1%","±2.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","77","±62","2.3%","±1.9"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,155","±76","34.3%","±2.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","80","±37","2.4%","±1.1"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","76","±63","2.3%","±1.9"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,523","±123","1,523","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","475","±136","31.2%","±7.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","887","±81","58.2%","±7.4"
"        Separated","37,600","±1,670","1.3%","±0.1","5","±7","0.3%","±0.4"
"        Widowed","65,484","±1,934","2.3%","±0.1","41","±39","2.7%","±2.5"
"        Divorced","227,113","±4,005","8.0%","±0.1","115","±50","7.6%","±3.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,293","±89","1,293","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","295","±75","22.8%","±5.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","870","±72","67.3%","±5.2"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±3.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","41","±21","3.2%","±1.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","87","±35","6.7%","±2.7"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","26","±24","26","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±64.5"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±122","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","37","±35","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±302","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","79","±94","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","20","±29","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","40","±32","40","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","14","±20","35.0%","±40.5"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","0.0%","±52.0"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±52.0"
"            3 or 4 years","5,630","±671","4.5%","±0.5","14","±20","35.0%","±40.5"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","0.0%","±52.0"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","14","±20","14","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","7","±10","50.0%","±12.1"
"        Who are married","19,550","±1,487","64.5%","±2.5","14","±20","100.0%","±87.9"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","818","±107","818","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","36","±23","4.4%","±3.0"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","6","±10","0.7%","±1.2"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","310","±65","37.9%","±8.3"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","217","±60","26.5%","±7.5"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","249","±97","30.4%","±9.1"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","2,279","±115","2,279","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","5","±7","0.2%","±0.3"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","43","±31","1.9%","±1.4"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","349","±95","15.3%","±3.8"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","327","±96","14.3%","±4.0"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","248","±78","10.9%","±3.4"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","773","±102","33.9%","±4.6"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","534","±120","23.4%","±5.2"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","2,231","±117","97.9%","±1.4"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","1,307","±137","57.3%","±6.0"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","2,661","±95","2,661","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","172","±49","6.5%","±1.8"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","3,369","±29","3,369","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","171","±54","5.1%","±1.6"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","708","±95","708","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","4","±6","0.6%","±0.8"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","2,166","±128","2,166","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","100","±45","4.6%","±2.1"
"    65 years and over","1,122,280","±664","1,122,280","(X)","495","±105","495","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","67","±26","13.5%","±5.3"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","3,342","±36","3,342","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","3,162","±131","94.6%","±3.5"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","180","±116","5.4%","±3.5"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","177","±115","5.3%","±3.5"
"                Same county","446,141","±8,933","6.4%","±0.1","124","±103","3.7%","±3.1"
"                Different county","354,693","±6,215","5.1%","±0.1","53","±39","1.6%","±1.2"
"                    Same state","205,752","±5,091","3.0%","±0.1","33","±31","1.0%","±0.9"
"                    Different state","148,941","±3,990","2.2%","±0.1","20","±26","0.6%","±0.8"
"            Abroad","61,536","±2,941","0.9%","±0.1","3","±5","0.1%","±0.1"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","3,369","±29","3,369","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","3,149","±85","93.5%","±2.4"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","3,138","±86","93.1%","±2.5"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","2,215","±188","65.7%","±5.6"
"                Different state","1,398,292","±9,460","20.0%","±0.1","923","±171","27.4%","±5.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","11","±11","0.3%","±0.3"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","220","±82","6.5%","±2.4"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","220","±82","220","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","150","±55","68.2%","±19.2"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","70","±58","31.8%","±19.2"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","231","±84","231","(X)"
"        Native","209,292","±4,176","209,292","(X)","11","±11","11","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","0","±13","0.0%","±99.2"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","11","±11","100.0%","±99.2"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","220","±82","220","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","66","±60","30.0%","±20.2"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","154","±50","70.0%","±20.2"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","220","±82","220","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","84","±39","38.2%","±15.2"
"        Asia","372,717","±3,581","30.8%","±0.3","73","±63","33.2%","±20.9"
"        Africa","113,823","±3,313","9.4%","±0.3","0","±13","0.0%","±16.6"
"        Oceania","4,098","±490","0.3%","±0.1","0","±13","0.0%","±16.6"
"        Latin America","456,601","±7,328","37.7%","±0.5","41","±29","18.6%","±13.9"
