"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02090!!Estimate","ZCTA5 02090!!Margin of Error","ZCTA5 02090!!Percent","ZCTA5 02090!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","5,424","±228","5,424","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,930","±207","72.5%","±4.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,841","±195","33.9%","±3.9"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","72","±67","1.3%","±1.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±21","0.0%","±0.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","390","±123","7.2%","±2.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±21","0.0%","±0.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","288","±90","5.3%","±1.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","166","±77","3.1%","±1.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,032","±197","19.0%","±3.2"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","141","±53","2.6%","±1.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","716","±164","13.2%","±2.8"
"                65 years and over","221,896","±3,548","8.2%","±0.1","552","±151","10.2%","±2.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,068","±201","38.1%","±4.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,092","±243","38.6%","±4.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.94","±0.12","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.37","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","15,973","±151","15,973","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","5,424","±228","34.0%","±1.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,900","±207","24.4%","±1.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","69","±66","0.4%","±0.4"
"        Child","1,898,296","±5,188","28.1%","±0.1","5,855","±288","36.7%","±1.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","636","±244","4.0%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","89","±112","0.6%","±0.7"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","6,152","±505","6,152","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,816","±364","29.5%","±4.4"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","4,005","±311","65.1%","±4.5"
"        Separated","37,600","±1,670","1.3%","±0.1","15","±16","0.2%","±0.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","159","±73","2.6%","±1.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","157","±99","2.6%","±1.6"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","6,648","±446","6,648","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,252","±245","18.8%","±2.8"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","4,161","±213","62.6%","±4.0"
"        Separated","55,256","±1,859","1.8%","±0.1","96","±67","1.4%","±1.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","622","±197","9.4%","±2.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","517","±162","7.8%","±2.4"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","197","±93","197","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±21","0.0%","±18.3"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±33","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","65","±31","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±63","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","108","±90","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","69","±45","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","239","±151","239","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","9","±15","3.8%","±6.8"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±21","0.0%","±15.4"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±21","0.0%","±15.4"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±21","0.0%","±15.4"
"            5 or more years","13,647","±1,024","10.9%","±0.8","9","±15","3.8%","±6.8"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","9","±15","9","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","4","±8","44.4%","±21.7"
"        Who are married","19,550","±1,487","64.5%","±2.5","9","±15","100.0%","±100.0"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","4,450","±342","4,450","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","358","±123","8.0%","±2.7"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","197","±88","4.4%","±1.9"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,995","±269","44.8%","±5.1"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,035","±255","23.3%","±5.1"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","865","±195","19.4%","±4.4"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","10,772","±386","10,772","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","77","±59","0.7%","±0.5"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","244","±166","2.3%","±1.5"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","993","±254","9.2%","±2.4"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","1,062","±315","9.9%","±2.7"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","685","±256","6.4%","±2.4"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","3,975","±388","36.9%","±3.4"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","3,736","±407","34.7%","±3.9"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","10,451","±422","97.0%","±1.6"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","7,711","±449","71.6%","±4.1"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","11,961","±355","11,961","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","662","±179","5.5%","±1.4"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","15,978","±150","15,978","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","1,353","±225","8.5%","±1.4"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","4,105","±357","4,105","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","49","±44","1.2%","±1.1"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","9,002","±453","9,002","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","353","±116","3.9%","±1.3"
"    65 years and over","1,122,280","±664","1,122,280","(X)","2,871","±331","2,871","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","951","±198","33.1%","±6.5"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","15,873","±109","15,873","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","14,453","±879","91.1%","±5.6"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","1,420","±884","8.9%","±5.6"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","1,338","±915","8.4%","±5.8"
"                Same county","446,141","±8,933","6.4%","±0.1","1,052","±895","6.6%","±5.6"
"                Different county","354,693","±6,215","5.1%","±0.1","286","±147","1.8%","±0.9"
"                    Same state","205,752","±5,091","3.0%","±0.1","119","±67","0.7%","±0.4"
"                    Different state","148,941","±3,990","2.2%","±0.1","167","±138","1.1%","±0.9"
"            Abroad","61,536","±2,941","0.9%","±0.1","82","±105","0.5%","±0.7"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","16,066","±39","16,066","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","13,789","±440","85.8%","±2.7"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","13,672","±453","85.1%","±2.8"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","10,285","±502","64.0%","±3.1"
"                Different state","1,398,292","±9,460","20.0%","±0.1","3,387","±437","21.1%","±2.7"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","117","±71","0.7%","±0.4"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","2,277","±438","14.2%","±2.7"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","2,277","±438","2,277","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","1,485","±249","65.2%","±11.2"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","792","±360","34.8%","±11.2"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","2,394","±452","2,394","(X)"
"        Native","209,292","±4,176","209,292","(X)","117","±71","117","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","14","±27","12.0%","±20.3"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","103","±65","88.0%","±20.3"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","2,277","±438","2,277","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","569","±304","25.0%","±10.3"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","1,708","±284","75.0%","±10.3"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","2,277","±438","2,277","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","559","±212","24.5%","±7.6"
"        Asia","372,717","±3,581","30.8%","±0.3","1,354","±365","59.5%","±9.3"
"        Africa","113,823","±3,313","9.4%","±0.3","47","±48","2.1%","±2.1"
"        Oceania","4,098","±490","0.3%","±0.1","23","±27","1.0%","±1.2"
"        Latin America","456,601","±7,328","37.7%","±0.5","234","±107","10.3%","±5.6"
"        Northern America","28,855","±1,370","2.4%","±0.1","60","±74","2.6%","±3.1"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","15,158","±199","15,158","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","12,580","±577","83.0%","±3.7"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","2,578","±572","17.0%","±3.7"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","573","±198","3.8%","±1.3"
"        Spanish","623,189","±4,858","9.4%","±0.1","126","±100","0.8%","±0.7"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","43","±42","0.3%","±0.3"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","993","±371","6.6%","±2.4"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","182","±115","1.2%","±0.8"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","1,311","±445","8.6%","±2.9"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","332","±184","2.2%","±1.2"
"        Other languages","99,560","±3,943","1.5%","±0.1","148","±97","1.0%","±0.6"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","16","±17","0.1%","±0.1"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","16,066","±39","16,066","(X)"
"        American","260,364","±6,504","3.7%","±0.1","863","±318","5.4%","±2.0"
"        Arab","72,487","±3,641","1.0%","±0.1","346","±177","2.2%","±1.1"
"        Czech","12,119","±1,098","0.2%","±0.1","35","±34","0.2%","±0.2"
"        Danish","14,346","±1,162","0.2%","±0.1","35","±54","0.2%","±0.3"
"        Dutch","34,354","±1,922","0.5%","±0.1","21","±26","0.1%","±0.2"
"        English","655,283","±8,406","9.4%","±0.1","1,581","±327","9.8%","±2.0"
"        French (except Basque)","375,415","±6,388","5.4%","±0.1","204","±143","1.3%","±0.9"
"        French Canadian","235,524","±4,384","3.4%","±0.1","314","±162","2.0%","±1.0"
"        German","387,135","±7,027","5.5%","±0.1","1,138","±298","7.1%","±1.9"
"        Greek","76,566","±3,218","1.1%","±0.1","676","±729","4.2%","±4.5"
"        Hungarian","19,068","±1,432","0.3%","±0.1","50","±46","0.3%","±0.3"
"        Irish","1,345,219","±11,619","19.2%","±0.2","4,430","±660","27.6%","±4.1"
"        Italian","815,794","±9,186","11.7%","±0.1","2,141","±649","13.3%","±4.0"
"        Lithuanian","43,215","±2,035","0.6%","±0.1","121","±122","0.8%","±0.8"
"        Norwegian","35,032","±1,997","0.5%","±0.1","45","±49","0.3%","±0.3"
"        Polish","283,050","±4,814","4.0%","±0.1","743","±305","4.6%","±1.9"
"        Portuguese","270,183","±5,260","3.9%","±0.1","23","±27","0.1%","±0.2"
"        Russian","91,511","±3,161","1.3%","±0.1","311","±184","1.9%","±1.1"
"        Scotch-Irish","41,714","±2,151","0.6%","±0.1","58","±37","0.4%","±0.2"
"        Scottish","134,503","±3,385","1.9%","±0.1","475","±161","3.0%","±1.0"
"        Slovak","7,069","±828","0.1%","±0.1","13","±21","0.1%","±0.1"
"        Subsaharan African","158,921","±4,752","2.3%","±0.1","46","±60","0.3%","±0.4"
"        Swedish","102,031","±2,873","1.5%","±0.1","89","±56","0.6%","±0.3"
"        Swiss","10,126","±912","0.1%","±0.1","19","±32","0.1%","±0.2"
"        Ukrainian","24,760","±1,792","0.4%","±0.1","42","±51","0.3%","±0.3"
"        Welsh","23,388","±1,506","0.3%","±0.1","41","±50","0.3%","±0.3"
"        West Indian (excluding Hispanic origin groups)","139,627","±4,694","2.0%","±0.1","0","±21","0.0%","±0.2"
"COMPUTERS AND INTERNET USE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","5,424","±228","5,424","(X)"
"        With a computer","2,538,022","±5,269","93.5%","±0.1","5,278","±221","97.3%","±1.4"
"        With a broadband Internet subscription","2,431,466","±6,695","89.6%","±0.2","5,118","±228","94.4%","±2.2"
