"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02125!!Estimate","ZCTA5 02125!!Margin of Error","ZCTA5 02125!!Percent","ZCTA5 02125!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","12,986","±573","12,986","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,389","±397","26.1%","±2.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,393","±262","10.7%","±2.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","793","±158","6.1%","±1.1"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","184","±78","1.4%","±0.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","3,281","±385","25.3%","±2.8"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","43","±38","0.3%","±0.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,992","±318","15.3%","±2.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","488","±168","3.8%","±1.3"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","5,523","±502","42.5%","±3.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,335","±270","10.3%","±2.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,416","±349","18.6%","±2.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","733","±189","5.6%","±1.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,485","±361","26.8%","±2.8"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,999","±346","23.1%","±2.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.47","±0.08","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.24","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","32,025","±1,518","32,025","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","12,986","±573","40.5%","±1.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,321","±366","10.4%","±1.0"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","807","±174","2.5%","±0.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","8,512","±800","26.6%","±2.0"
"        Other relatives","394,812","±8,541","5.9%","±0.1","3,389","±576","10.6%","±1.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","3,010","±445","9.4%","±1.3"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","12,467","±820","12,467","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","7,152","±589","57.4%","±3.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","4,172","±463","33.5%","±3.0"
"        Separated","37,600","±1,670","1.3%","±0.1","257","±121","2.1%","±1.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","103","±59","0.8%","±0.5"
"        Divorced","227,113","±4,005","8.0%","±0.1","783","±217","6.3%","±1.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","14,854","±790","14,854","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","8,058","±637","54.2%","±2.9"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","4,077","±417","27.4%","±2.7"
"        Separated","55,256","±1,859","1.8%","±0.1","457","±142","3.1%","±0.9"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,044","±247","7.0%","±1.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,218","±247","8.2%","±1.6"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","378","±134","378","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","195","±90","51.6%","±16.3"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","26","±12","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","38","±13","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","11","±19","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","48","±21","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","33","±18","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","791","±191","791","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","242","±97","30.6%","±11.0"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","38","±32","4.8%","±4.3"
"            1 or 2 years","6,316","±677","5.0%","±0.5","84","±76","10.6%","±9.1"
"            3 or 4 years","5,630","±671","4.5%","±0.5","25","±37","3.2%","±4.8"
"            5 or more years","13,647","±1,024","10.9%","±0.8","95","±63","12.0%","±7.5"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","242","±97","242","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","212","±91","87.6%","±11.7"
"        Who are married","19,550","±1,487","64.5%","±2.5","89","±62","36.8%","±21.8"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","8,997","±752","8,997","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","295","±132","3.3%","±1.4"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","474","±139","5.3%","±1.5"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","3,060","±460","34.0%","±3.9"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,552","±315","17.3%","±3.1"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","3,616","±511","40.2%","±5.0"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","22,555","±1,203","22,555","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","1,786","±331","7.9%","±1.5"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","1,171","±227","5.2%","±1.0"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","6,031","±591","26.7%","±2.3"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","3,499","±501","15.5%","±2.0"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","1,095","±183","4.9%","±0.8"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","5,067","±611","22.5%","±2.0"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","3,906","±429","17.3%","±1.7"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","19,598","±1,190","86.9%","±1.8"
