"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01590!!Estimate","ZCTA5 01590!!Margin of Error","ZCTA5 01590!!Percent","ZCTA5 01590!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,332","±259","3,332","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,197","±207","65.9%","±6.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","918","±159","27.6%","±5.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","232","±108","7.0%","±3.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","38","±38","1.1%","±1.1"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","395","±170","11.9%","±4.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","21","±35","0.6%","±1.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","273","±121","8.2%","±3.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","49","±40","1.5%","±1.2"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","508","±165","15.2%","±4.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","49","±42","1.5%","±1.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","368","±122","11.0%","±3.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","213","±99","6.4%","±2.9"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,096","±164","32.9%","±5.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,030","±158","30.9%","±4.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.76","±0.21","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.26","±0.24","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","9,209","±134","9,209","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","3,332","±259","36.2%","±2.8"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,249","±196","24.4%","±2.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","233","±107","2.5%","±1.2"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,770","±371","30.1%","±3.9"
"        Other relatives","394,812","±8,541","5.9%","±0.1","513","±279","5.6%","±3.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","112","±95","1.2%","±1.0"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","3,891","±215","3,891","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,135","±249","29.2%","±5.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,280","±200","58.6%","±5.8"
"        Separated","37,600","±1,670","1.3%","±0.1","61","±56","1.6%","±1.4"
"        Widowed","65,484","±1,934","2.3%","±0.1","116","±89","3.0%","±2.3"
"        Divorced","227,113","±4,005","8.0%","±0.1","299","±125","7.7%","±3.1"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","3,864","±216","3,864","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,008","±300","26.1%","±6.7"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,275","±197","58.9%","±6.0"
"        Separated","55,256","±1,859","1.8%","±0.1","9","±13","0.2%","±0.3"
"        Widowed","239,073","±3,906","7.9%","±0.1","179","±118","4.6%","±3.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","393","±154","10.2%","±4.1"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","139","±87","139","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","1","±3","0.7%","±1.9"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","1","±2","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","68","±45","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±175","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","149","±107","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","9","±14","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","295","±172","295","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","21","±35","7.1%","±13.0"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±19","0.0%","±12.7"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±19","0.0%","±12.7"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±19","0.0%","±12.7"
"            5 or more years","13,647","±1,024","10.9%","±0.8","21","±35","7.1%","±13.0"
