"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01031!!Estimate","ZCTA5 01031!!Margin of Error","ZCTA5 01031!!Percent","ZCTA5 01031!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","608","±93","608","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","301","±79","49.5%","±14.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","124","±72","20.4%","±13.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","21","±16","3.5%","±2.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±13","0.0%","±6.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","115","±64","18.9%","±9.8"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","5","±7","0.8%","±1.1"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","66","±47","10.9%","±7.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","25","±31","4.1%","±5.3"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","171","±86","28.1%","±12.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","50","±52","8.2%","±8.4"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","115","±69","18.9%","±10.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","69","±49","11.3%","±7.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","179","±75","29.4%","±13.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","235","±85","38.7%","±11.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.59","±0.43","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.22","±0.46","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,577","±225","1,577","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","608","±93","38.6%","±6.2"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","332","±98","21.1%","±4.9"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","21","±17","1.3%","±1.1"
"        Child","1,898,296","±5,188","28.1%","±0.1","513","±163","32.5%","±7.3"
"        Other relatives","394,812","±8,541","5.9%","±0.1","59","±35","3.7%","±2.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","44","±34","2.8%","±2.3"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","644","±109","644","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","233","±82","36.2%","±9.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","313","±79","48.6%","±10.4"
"        Separated","37,600","±1,670","1.3%","±0.1","11","±11","1.7%","±1.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","30","±29","4.7%","±4.4"
"        Divorced","227,113","±4,005","8.0%","±0.1","57","±35","8.9%","±5.5"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","613","±103","613","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","125","±65","20.4%","±10.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","326","±100","53.2%","±16.0"
"        Separated","55,256","±1,859","1.8%","±0.1","49","±51","8.0%","±7.9"
"        Widowed","239,073","±3,906","7.9%","±0.1","51","±45","8.3%","±7.0"
"        Divorced","324,764","±4,024","10.7%","±0.1","62","±39","10.1%","±5.9"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","6","±9","6","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","6","±9","100.0%","±100.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","63","±101","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","19","±30","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±611","(X)","(X)"
