"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01104!!Estimate","ZCTA5 01104!!Margin of Error","ZCTA5 01104!!Percent","ZCTA5 01104!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","9,208","±693","9,208","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,583","±490","28.1%","±4.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","994","±252","10.8%","±2.8"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","733","±235","8.0%","±2.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","190","±124","2.1%","±1.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,465","±261","15.9%","±2.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","72","±45","0.8%","±0.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,121","±241","12.2%","±2.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","344","±119","3.7%","±1.3"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","4,427","±671","48.1%","±5.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,713","±513","18.6%","±5.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,910","±335","20.7%","±3.4"
"                65 years and over","221,896","±3,548","8.2%","±0.1","1,093","±311","11.9%","±3.3"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,394","±563","36.9%","±5.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,622","±387","28.5%","±4.1"
"        Average household size","2.48","±0.01","(X)","(X)","2.50","±0.13","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.19","±0.18","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","23,039","±1,815","23,039","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","9,208","±693","40.0%","±2.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,704","±533","11.7%","±2.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","777","±247","3.4%","±1.1"
"        Child","1,898,296","±5,188","28.1%","±0.1","8,088","±1,066","35.1%","±3.0"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,771","±409","7.7%","±1.6"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","491","±196","2.1%","±0.9"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","7,968","±730","7,968","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","3,889","±563","48.8%","±5.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,096","±561","38.9%","±5.6"
"        Separated","37,600","±1,670","1.3%","±0.1","235","±116","2.9%","±1.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","169","±83","2.1%","±1.1"
"        Divorced","227,113","±4,005","8.0%","±0.1","579","±202","7.3%","±2.5"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","10,135","±968","10,135","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","5,056","±880","49.9%","±5.7"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,820","±507","27.8%","±4.9"
"        Separated","55,256","±1,859","1.8%","±0.1","320","±164","3.2%","±1.6"
"        Widowed","239,073","±3,906","7.9%","±0.1","756","±276","7.5%","±2.7"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,183","±213","11.7%","±2.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","428","±316","428","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","343","±310","80.1%","±23.8"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","76","±63","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","69","±47","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±41","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","169","±116","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±15","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","685","±255","685","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","201","±96","29.3%","±13.0"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","9","±15","1.3%","±2.2"
"            1 or 2 years","6,316","±677","5.0%","±0.5","65","±55","9.5%","±7.2"
"            3 or 4 years","5,630","±671","4.5%","±0.5","37","±58","5.4%","±8.6"
"            5 or more years","13,647","±1,024","10.9%","±0.8","90","±68","13.1%","±10.0"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","201","±96","201","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","176","±90","87.6%","±14.9"
"        Who are married","19,550","±1,487","64.5%","±2.5","80","±72","39.8%","±34.5"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","6,445","±877","6,445","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","401","±169","6.2%","±2.7"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","144","±85","2.2%","±1.3"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","3,413","±639","53.0%","±5.6"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,767","±383","27.4%","±4.7"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","720","±235","11.2%","±3.4"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
