"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01095!!Estimate","ZCTA5 01095!!Margin of Error","ZCTA5 01095!!Percent","ZCTA5 01095!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","5,417","±368","5,417","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,253","±315","60.1%","±6.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,297","±243","23.9%","±5.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","367","±189","6.8%","±3.4"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","94","±102","1.7%","±1.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","617","±214","11.4%","±3.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","29","±33","0.5%","±0.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","399","±175","7.4%","±3.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","166","±97","3.1%","±1.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,180","±325","21.8%","±5.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","151","±88","2.8%","±1.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","698","±293","12.9%","±4.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","628","±277","11.6%","±4.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,864","±206","34.4%","±5.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,223","±341","41.0%","±4.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.65","±0.17","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.06","±0.15","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","14,382","±221","14,382","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","5,417","±368","37.7%","±2.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,192","±300","22.2%","±2.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","354","±175","2.5%","±1.2"
"        Child","1,898,296","±5,188","28.1%","±0.1","4,258","±391","29.6%","±2.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","857","±299","6.0%","±2.1"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","304","±202","2.1%","±1.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","5,591","±339","5,591","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,425","±300","25.5%","±4.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,303","±305","59.1%","±5.3"
"        Separated","37,600","±1,670","1.3%","±0.1","25","±41","0.4%","±0.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","207","±99","3.7%","±1.7"
"        Divorced","227,113","±4,005","8.0%","±0.1","631","±205","11.3%","±3.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","6,768","±364","6,768","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,006","±396","29.6%","±5.1"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,464","±291","51.2%","±4.8"
"        Separated","55,256","±1,859","1.8%","±0.1","15","±25","0.2%","±0.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","644","±192","9.5%","±2.7"
"        Divorced","324,764","±4,024","10.7%","±0.1","639","±169","9.4%","±2.5"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","123","±102","123","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","69","±97","56.1%","±51.5"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","37","±49","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","37","±28","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","99","±114","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","33","±32","(X)","(X)"
