"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01540!!Estimate","ZCTA5 01540!!Margin of Error","ZCTA5 01540!!Percent","ZCTA5 01540!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,988","±320","3,988","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,331","±269","58.5%","±6.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,084","±205","27.2%","±6.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","349","±148","8.8%","±3.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","61","±58","1.5%","±1.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","456","±174","11.4%","±4.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±21","0.0%","±1.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","316","±133","7.9%","±3.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","160","±106","4.0%","±2.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","852","±224","21.4%","±4.9"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","183","±130","4.6%","±3.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","459","±154","11.5%","±3.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","268","±100","6.7%","±2.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,467","±202","36.8%","±6.1"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,152","±190","28.9%","±3.9"
"        Average household size","2.48","±0.01","(X)","(X)","2.88","±0.23","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.37","±0.27","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","11,468","±549","11,468","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","3,988","±320","34.8%","±2.8"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,356","±260","20.5%","±2.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","351","±155","3.1%","±1.4"
"        Child","1,898,296","±5,188","28.1%","±0.1","3,576","±399","31.2%","±2.9"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,016","±476","8.9%","±4.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","181","±139","1.6%","±1.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","4,449","±366","4,449","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,231","±290","27.7%","±5.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,439","±270","54.8%","±5.5"
"        Separated","37,600","±1,670","1.3%","±0.1","76","±73","1.7%","±1.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","230","±109","5.2%","±2.4"
"        Divorced","227,113","±4,005","8.0%","±0.1","473","±158","10.6%","±3.6"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","5,087","±448","5,087","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,483","±341","29.2%","±5.1"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,563","±329","50.4%","±5.3"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±21","0.0%","±0.8"
"        Widowed","239,073","±3,906","7.9%","±0.1","380","±125","7.5%","±2.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","661","±195","13.0%","±3.9"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","240","±148","240","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","132","±117","55.0%","±32.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","87","±76","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","86","±54","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±92","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","173","±113","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","17","±29","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","568","±364","568","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","17","±28","3.0%","±6.1"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±21","0.0%","±6.8"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±21","0.0%","±6.8"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±21","0.0%","±6.8"
"            5 or more years","13,647","±1,024","10.9%","±0.8","17","±28","3.0%","±6.1"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","17","±28","17","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","17","±28","100.0%","±79.8"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±21","0.0%","±79.8"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","2,699","±362","2,699","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","78","±52","2.9%","±2.1"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","134","±73","5.0%","±2.9"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,118","±310","41.4%","±8.7"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","597","±193","22.1%","±7.7"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","772","±258","28.6%","±7.5"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","8,193","±451","8,193","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","133","±86","1.6%","±1.0"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","200","±86","2.4%","±1.0"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","2,785","±441","34.0%","±4.7"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","1,847","±359","22.5%","±4.3"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","884","±292","10.8%","±3.5"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","1,327","±330","16.2%","±3.9"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","1,017","±258","12.4%","±3.2"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","7,860","±437","95.9%","±1.5"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","2,344","±350","28.6%","±4.2"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","9,149","±471","9,149","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","566","±189","6.2%","±2.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","11,468","±549","11,468","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","1,502","±365","13.1%","±3.0"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","2,380","±286","2,380","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","123","±101","5.2%","±4.0"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","7,582","±506","7,582","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","885","±364","11.7%","±4.4"
"    65 years and over","1,122,280","±664","1,122,280","(X)","1,506","±253","1,506","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","494","±172","32.8%","±10.1"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","11,341","±539","11,341","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","10,173","±731","89.7%","±4.9"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","1,168","±563","10.3%","±4.9"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","1,168","±563","10.3%","±4.9"
"                Same county","446,141","±8,933","6.4%","±0.1","799","±541","7.0%","±4.7"
"                Different county","354,693","±6,215","5.1%","±0.1","369","±196","3.3%","±1.7"
"                    Same state","205,752","±5,091","3.0%","±0.1","175","±143","1.5%","±1.2"
"                    Different state","148,941","±3,990","2.2%","±0.1","194","±138","1.7%","±1.2"
"            Abroad","61,536","±2,941","0.9%","±0.1","0","±21","0.0%","±0.4"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","11,529","±543","11,529","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","10,786","±655","93.6%","±2.7"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","10,704","±652","92.8%","±2.7"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","9,389","±679","81.4%","±3.9"
"                Different state","1,398,292","±9,460","20.0%","±0.1","1,315","±361","11.4%","±3.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","82","±64","0.7%","±0.6"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","743","±309","6.4%","±2.7"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","743","±309","743","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","564","±281","75.9%","±16.6"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","179","±131","24.1%","±16.6"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","825","±308","825","(X)"
"        Native","209,292","±4,176","209,292","(X)","82","±64","82","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","41","±51","50.0%","±39.3"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","41","±37","50.0%","±39.3"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","743","±309","743","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","118","±108","15.9%","±13.4"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","625","±278","84.1%","±13.4"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","743","±309","743","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","351","±231","47.2%","±22.4"
"        Asia","372,717","±3,581","30.8%","±0.3","94","±77","12.7%","±10.9"
"        Africa","113,823","±3,313","9.4%","±0.3","0","±21","0.0%","±5.2"
"        Oceania","4,098","±490","0.3%","±0.1","0","±21","0.0%","±5.2"
"        Latin America","456,601","±7,328","37.7%","±0.5","298","±202","40.1%","±21.8"
"        Northern America","28,855","±1,370","2.4%","±0.1","0","±21","0.0%","±5.2"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","11,036","±555","11,036","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","9,969","±747","90.3%","±4.5"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","1,067","±494","9.7%","±4.5"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","290","±198","2.6%","±1.8"
"        Spanish","623,189","±4,858","9.4%","±0.1","396","±308","3.6%","±2.8"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","170","±169","1.5%","±1.5"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","566","±387","5.1%","±3.5"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","89","±107","0.8%","±1.0"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","79","±77","0.7%","±0.7"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","31","±37","0.3%","±0.3"
"        Other languages","99,560","±3,943","1.5%","±0.1","26","±33","0.2%","±0.3"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","0","±21","0.0%","±0.4"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","11,529","±543","11,529","(X)"
"        American","260,364","±6,504","3.7%","±0.1","891","±475","7.7%","±4.1"
"        Arab","72,487","±3,641","1.0%","±0.1","103","±106","0.9%","±0.9"
"        Czech","12,119","±1,098","0.2%","±0.1","0","±21","0.0%","±0.3"
"        Danish","14,346","±1,162","0.2%","±0.1","0","±21","0.0%","±0.3"
"        Dutch","34,354","±1,922","0.5%","±0.1","8","±12","0.1%","±0.1"
"        English","655,283","±8,406","9.4%","±0.1","843","±256","7.3%","±2.3"
"        French (except Basque)","375,415","±6,388","5.4%","±0.1","1,716","±439","14.9%","±3.8"
"        French Canadian","235,524","±4,384","3.4%","±0.1","654","±261","5.7%","±2.3"
