"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02124!!Estimate","ZCTA5 02124!!Margin of Error","ZCTA5 02124!!Percent","ZCTA5 02124!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","19,395","±695","19,395","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","5,928","±546","30.6%","±2.6"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,218","±319","11.4%","±1.6"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","990","±263","5.1%","±1.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","376","±165","1.9%","±0.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","3,148","±401","16.2%","±2.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","163","±123","0.8%","±0.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,618","±283","8.3%","±1.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","539","±201","2.8%","±1.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","9,329","±643","48.1%","±2.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","2,993","±410","15.4%","±2.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","3,041","±528","15.7%","±2.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","1,363","±305","7.0%","±1.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","6,989","±654","36.0%","±3.1"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","5,840","±498","30.1%","±2.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.87","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.40","±0.12","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","55,618","±2,549","55,618","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","19,395","±695","34.9%","±1.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","5,756","±535","10.3%","±0.9"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,041","±309","1.9%","±0.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","18,549","±1,462","33.4%","±1.9"
"        Other relatives","394,812","±8,541","5.9%","±0.1","7,405","±1,085","13.3%","±1.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","3,472","±685","6.2%","±1.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","20,777","±1,241","20,777","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","10,612","±917","51.1%","±3.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","7,711","±662","37.1%","±2.4"
"        Separated","37,600","±1,670","1.3%","±0.1","518","±212","2.5%","±1.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","425","±147","2.0%","±0.7"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,511","±402","7.3%","±1.8"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","25,081","±1,312","25,081","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","12,626","±1,055","50.3%","±2.8"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","6,765","±567","27.0%","±2.1"
"        Separated","55,256","±1,859","1.8%","±0.1","1,264","±255","5.0%","±1.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,691","±305","6.7%","±1.2"
"        Divorced","324,764","±4,024","10.7%","±0.1","2,735","±475","10.9%","±1.8"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","704","±231","704","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","422","±165","59.9%","±15.7"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","37","±15","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","44","±15","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","6","±10","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","88","±30","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","11","±11","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","2,238","±525","2,238","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","280","±128","12.5%","±6.0"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","29","±35","1.3%","±1.6"
