"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01266!!Estimate","ZCTA5 01266!!Margin of Error","ZCTA5 01266!!Percent","ZCTA5 01266!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","421","±68","421","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","239","±46","56.8%","±8.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","38","±23","9.0%","±5.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","16","±11","3.8%","±2.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","5","±7","1.2%","±1.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","62","±28","14.7%","±6.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","27","±25","6.4%","±5.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","30","±19","7.1%","±4.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","8","±6","1.9%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","104","±46","24.7%","±9.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","18","±18","4.3%","±4.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","76","±41","18.1%","±8.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","34","±28","8.1%","±6.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","109","±42","25.9%","±9.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","154","±45","36.6%","±8.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.17","±0.20","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.56","±0.22","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","915","±144","915","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","421","±68","46.0%","±4.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","255","±50","27.9%","±4.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","16","±11","1.7%","±1.1"
"        Child","1,898,296","±5,188","28.1%","±0.1","177","±80","19.3%","±7.1"
"        Other relatives","394,812","±8,541","5.9%","±0.1","42","±31","4.6%","±3.4"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","4","±7","0.4%","±0.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","395","±67","395","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","91","±40","23.0%","±8.1"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","247","±46","62.5%","±8.3"
"        Separated","37,600","±1,670","1.3%","±0.1","36","±27","9.1%","±6.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","16","±10","4.1%","±2.7"
"        Divorced","227,113","±4,005","8.0%","±0.1","5","±6","1.3%","±1.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","400","±69","400","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","76","±37","19.0%","±8.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","263","±50","65.8%","±7.9"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±9.5"
"        Widowed","239,073","±3,906","7.9%","±0.1","1","±4","0.3%","±1.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","60","±24","15.0%","±5.3"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","6","±7","6","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","1","±2","16.7%","±41.1"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","17","±40","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","36","±46","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±718","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","208","±252","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","8","±19","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","14","±12","14","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±13","0.0%","±87.9"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","0.0%","±87.9"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±87.9"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±87.9"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","0.0%","±87.9"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","0","±13","0","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±13","-","**"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±13","-","**"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","152","±74","152","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","19","±17","12.5%","±11.3"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","7","±9","4.6%","±5.4"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","50","±42","32.9%","±19.1"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","39","±21","25.7%","±13.2"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","37","±30","24.3%","±13.3"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","712","±105","712","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","2","±3","0.3%","±0.4"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","28","±19","3.9%","±2.7"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","95","±47","13.3%","±6.5"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","57","±29","8.0%","±4.0"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","28","±15","3.9%","±2.1"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","258","±93","36.2%","±11.1"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","244","±70","34.3%","±8.6"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","682","±106","95.8%","±2.7"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","502","±104","70.5%","±8.6"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","750","±112","750","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","24","±14","3.2%","±1.9"
