"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01264!!Estimate","ZCTA5 01264!!Margin of Error","ZCTA5 01264!!Percent","ZCTA5 01264!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","100","±27","100","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","51","±21","51.0%","±14.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","4","±6","4.0%","±5.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","7","±7","7.0%","±6.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±13","0.0%","±31.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","12","±8","12.0%","±8.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±31.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","9","±8","9.0%","±8.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","7","±7","7.0%","±7.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","30","±16","30.0%","±13.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","5","±6","5.0%","±5.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","20","±15","20.0%","±12.4"
"                65 years and over","221,896","±3,548","8.2%","±0.1","7","±8","7.0%","±7.9"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","9","±8","9.0%","±6.8"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","52","±23","52.0%","±14.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.20","±0.34","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.69","±0.59","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","220","±48","220","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","100","±27","45.5%","±7.6"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","58","±16","26.4%","±7.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","8","±8","3.6%","±3.4"
