"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01756!!Estimate","ZCTA5 01756!!Margin of Error","ZCTA5 01756!!Percent","ZCTA5 01756!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","2,076","±123","2,076","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,618","±133","77.9%","±7.4"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","671","±148","32.3%","±8.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","47","±37","2.3%","±1.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","11","±17","0.5%","±0.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","204","±128","9.8%","±6.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±19","0.0%","±1.9"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","144","±99","6.9%","±4.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","90","±74","4.3%","±3.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","207","±102","10.0%","±4.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","42","±40","2.0%","±1.9"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","73","±52","3.5%","±2.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","59","±44","2.8%","±2.1"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","781","±141","37.6%","±8.1"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","699","±185","33.7%","±7.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.98","±0.17","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.26","±0.17","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","6,190","±25","6,190","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","2,076","±123","33.5%","±2.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,638","±137","26.5%","±2.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","48","±38","0.8%","±0.6"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,125","±245","34.3%","±4.0"
"        Other relatives","394,812","±8,541","5.9%","±0.1","236","±159","3.8%","±2.6"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","67","±55","1.1%","±0.9"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,653","±160","2,653","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","759","±150","28.6%","±5.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,669","±131","62.9%","±5.7"
"        Separated","37,600","±1,670","1.3%","±0.1","94","±109","3.5%","±4.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","61","±66","2.3%","±2.5"
"        Divorced","227,113","±4,005","8.0%","±0.1","70","±49","2.6%","±1.9"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","2,600","±153","2,600","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","645","±207","24.8%","±7.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,641","±135","63.1%","±6.7"
"        Separated","55,256","±1,859","1.8%","±0.1","57","±50","2.2%","±1.9"
"        Widowed","239,073","±3,906","7.9%","±0.1","121","±68","4.7%","±2.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","136","±103","5.2%","±4.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","42","±41","42","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","15","±24","35.7%","±50.2"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","23","±41","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","30","±31","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±146","(X)","(X)"
