"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01566!!Estimate","ZCTA5 01566!!Margin of Error","ZCTA5 01566!!Percent","ZCTA5 01566!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","2,610","±231","2,610","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,632","±236","62.5%","±6.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","577","±117","22.1%","±5.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","166","±92","6.4%","±3.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","57","±48","2.2%","±1.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","221","±92","8.5%","±3.4"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","21","±34","0.8%","±1.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","155","±72","5.9%","±2.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","60","±47","2.3%","±1.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","591","±154","22.6%","±5.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","152","±87","5.8%","±3.4"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","318","±119","12.2%","±4.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","182","±81","7.0%","±3.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","839","±129","32.1%","±5.8"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","954","±191","36.6%","±6.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.49","±0.15","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.83","±0.20","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","6,501","±474","6,501","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","2,610","±231","40.1%","±2.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,586","±209","24.4%","±2.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","164","±90","2.5%","±1.4"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,871","±275","28.8%","±3.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","257","±123","4.0%","±1.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","13","±14","0.2%","±0.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,469","±265","2,469","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","553","±155","22.4%","±5.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,631","±213","66.1%","±6.1"
