"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01740!!Estimate","ZCTA5 01740!!Margin of Error","ZCTA5 01740!!Percent","ZCTA5 01740!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,853","±118","1,853","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,394","±120","75.2%","±7.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","618","±93","33.4%","±5.8"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","99","±69","5.3%","±3.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","13","±21","0.7%","±1.1"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","158","±75","8.5%","±3.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±19","0.0%","±2.1"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","143","±73","7.7%","±3.8"
"                65 years and over","102,147","±2,741","3.8%","±0.1","52","±35","2.8%","±1.9"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","202","±121","10.9%","±6.2"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","15","±24","0.8%","±1.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","137","±110","7.4%","±5.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","107","±109","5.8%","±5.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","703","±90","37.9%","±6.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","572","±124","30.9%","±5.7"
"        Average household size","2.48","±0.01","(X)","(X)","3.01","±0.19","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.41","±0.19","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","5,581","±41","5,581","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,853","±118","33.2%","±2.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,362","±116","24.4%","±2.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","110","±77","2.0%","±1.4"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,028","±147","36.3%","±2.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","228","±106","4.1%","±1.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","0","±19","0.0%","±0.7"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,147","±130","2,147","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","452","±117","21.1%","±4.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,459","±109","68.0%","±5.9"
"        Separated","37,600","±1,670","1.3%","±0.1","11","±18","0.5%","±0.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","63","±38","2.9%","±1.7"
"        Divorced","227,113","±4,005","8.0%","±0.1","162","±99","7.5%","±4.5"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","2,113","±178","2,113","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","416","±161","19.7%","±6.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,383","±116","65.5%","±7.5"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±19","0.0%","±1.9"
"        Widowed","239,073","±3,906","7.9%","±0.1","126","±87","6.0%","±4.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","188","±123","8.9%","±5.7"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","91","±52","91","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±19","0.0%","±33.9"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±93","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","87","±54","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±213","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","190","±175","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","59","±44","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","102","±83","102","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","55","±68","53.9%","±37.9"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±19","0.0%","±31.3"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±19","0.0%","±31.3"
"            3 or 4 years","5,630","±671","4.5%","±0.5","12","±18","11.8%","±18.0"
"            5 or more years","13,647","±1,024","10.9%","±0.8","43","±64","42.2%","±43.4"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","55","±68","55","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","27","±34","49.1%","±3.6"
"        Who are married","19,550","±1,487","64.5%","±2.5","55","±68","100.0%","±44.4"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,535","±225","1,535","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","135","±65","8.8%","±4.2"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","66","±51","4.3%","±3.3"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","818","±145","53.3%","±6.6"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","277","±94","18.0%","±5.7"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","239","±116","15.6%","±6.5"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","3,732","±178","3,732","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","9","±14","0.2%","±0.4"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","15","±29","0.4%","±0.8"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","417","±119","11.2%","±3.2"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","361","±105","9.7%","±2.9"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","234","±80","6.3%","±2.1"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","1,245","±200","33.4%","±5.0"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","1,451","±199","38.9%","±5.1"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","3,708","±179","99.4%","±0.9"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","2,696","±226","72.2%","±4.7"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","4,069","±175","4,069","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","206","±83","5.1%","±2.0"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","5,606","±32","5,606","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","215","±81","3.8%","±1.5"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","1,537","±175","1,537","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","6","±10","0.4%","±0.6"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","3,231","±200","3,231","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","97","±50","3.0%","±1.5"
"    65 years and over","1,122,280","±664","1,122,280","(X)","838","±167","838","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","112","±52","13.4%","±6.6"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","5,512","±65","5,512","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","5,151","±193","93.5%","±3.1"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","361","±170","6.5%","±3.1"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","361","±170","6.5%","±3.1"
"                Same county","446,141","±8,933","6.4%","±0.1","172","±147","3.1%","±2.7"
"                Different county","354,693","±6,215","5.1%","±0.1","189","±95","3.4%","±1.7"
"                    Same state","205,752","±5,091","3.0%","±0.1","165","±94","3.0%","±1.7"
"                    Different state","148,941","±3,990","2.2%","±0.1","24","±27","0.4%","±0.5"
"            Abroad","61,536","±2,941","0.9%","±0.1","0","±19","0.0%","±0.7"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","5,606","±32","5,606","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","5,060","±186","90.3%","±3.3"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","5,013","±189","89.4%","±3.3"
