"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01201!!Estimate","ZCTA5 01201!!Margin of Error","ZCTA5 01201!!Percent","ZCTA5 01201!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","19,952","±534","19,952","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","7,739","±478","38.8%","±2.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,170","±300","10.9%","±1.6"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,692","±329","8.5%","±1.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","670","±246","3.4%","±1.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","4,035","±410","20.2%","±1.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","352","±142","1.8%","±0.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,996","±367","15.0%","±1.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","1,088","±223","5.5%","±1.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","6,486","±552","32.5%","±2.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,137","±265","5.7%","±1.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","4,162","±475","20.9%","±2.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","2,069","±266","10.4%","±1.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","4,662","±390","23.4%","±2.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","6,554","±434","32.8%","±2.1"
"        Average household size","2.48","±0.01","(X)","(X)","2.22","±0.06","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.88","±0.08","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","44,344","±379","44,344","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","19,952","±534","45.0%","±1.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","7,713","±493","17.4%","±1.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,805","±371","4.1%","±0.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","11,295","±631","25.5%","±1.4"
"        Other relatives","394,812","±8,541","5.9%","±0.1","2,060","±433","4.6%","±1.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","1,519","±535","3.4%","±1.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","18,665","±508","18,665","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","7,350","±483","39.4%","±2.2"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","8,544","±554","45.8%","±3.0"
"        Separated","37,600","±1,670","1.3%","±0.1","279","±174","1.5%","±0.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","599","±196","3.2%","±1.0"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,893","±287","10.1%","±1.5"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","20,127","±527","20,127","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","7,031","±608","34.9%","±2.7"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","7,850","±487","39.0%","±2.4"
"        Separated","55,256","±1,859","1.8%","±0.1","436","±207","2.2%","±1.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,787","±292","8.9%","±1.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","3,023","±390","15.0%","±2.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","418","±161","418","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","206","±130","49.3%","±21.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","31","±19","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","43","±17","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±32","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","72","±32","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","26","±22","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","595","±213","595","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","302","±155","50.8%","±16.0"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","74","±67","12.4%","±9.8"
"            1 or 2 years","6,316","±677","5.0%","±0.5","7","±11","1.2%","±2.0"
"            3 or 4 years","5,630","±671","4.5%","±0.5","15","±23","2.5%","±4.1"
"            5 or more years","13,647","±1,024","10.9%","±0.8","206","±130","34.6%","±15.8"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","302","±155","302","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","183","±101","60.6%","±18.2"
"        Who are married","19,550","±1,487","64.5%","±2.5","191","±132","63.2%","±25.5"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","8,930","±609","8,930","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","564","±211","6.3%","±2.2"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","291","±113","3.3%","±1.3"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","3,685","±460","41.3%","±4.2"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,915","±253","21.4%","±2.9"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","2,475","±329","27.7%","±3.0"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","33,862","±599","33,862","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","688","±276","2.0%","±0.8"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","1,868","±397","5.5%","±1.2"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","10,151","±857","30.0%","±2.4"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","6,831","±643","20.2%","±1.9"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","3,163","±441","9.3%","±1.3"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","6,678","±655","19.7%","±2.0"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","4,483","±550","13.2%","±1.6"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","31,306","±690","92.5%","±1.5"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","11,161","±779","33.0%","±2.3"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","37,406","±512","37,406","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","2,501","±295","6.7%","±0.8"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","44,685","±369","44,685","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","7,879","±806","17.6%","±1.8"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","7,925","±502","7,925","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","628","±251","7.9%","±3.1"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","28,177","±616","28,177","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","4,526","±637","16.1%","±2.3"
"    65 years and over","1,122,280","±664","1,122,280","(X)","8,583","±520","8,583","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","2,725","±382","31.7%","±3.8"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","45,072","±359","45,072","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","40,341","±887","89.5%","±2.0"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","4,731","±896","10.5%","±2.0"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","4,411","±849","9.8%","±1.9"
"                Same county","446,141","±8,933","6.4%","±0.1","3,220","±747","7.1%","±1.7"
"                Different county","354,693","±6,215","5.1%","±0.1","1,191","±324","2.6%","±0.7"
"                    Same state","205,752","±5,091","3.0%","±0.1","384","±147","0.9%","±0.3"
"                    Different state","148,941","±3,990","2.2%","±0.1","807","±296","1.8%","±0.7"
"            Abroad","61,536","±2,941","0.9%","±0.1","320","±244","0.7%","±0.5"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","45,372","±340","45,372","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","42,311","±655","93.3%","±1.2"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","41,716","±671","91.9%","±1.2"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","32,030","±1,029","70.6%","±2.1"
"                Different state","1,398,292","±9,460","20.0%","±0.1","9,686","±746","21.3%","±1.7"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","595","±200","1.3%","±0.4"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","3,061","±525","6.7%","±1.2"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","3,061","±525","3,061","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","2,065","±414","67.5%","±6.9"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","996","±270","32.5%","±6.9"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","3,656","±530","3,656","(X)"
"        Native","209,292","±4,176","209,292","(X)","595","±200","595","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","151","±98","25.4%","±13.7"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","444","±167","74.6%","±13.7"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","3,061","±525","3,061","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","768","±298","25.1%","±7.1"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","2,293","±360","74.9%","±7.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","3,061","±525","3,061","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","866","±249","28.3%","±6.7"
"        Asia","372,717","±3,581","30.8%","±0.3","398","±181","13.0%","±5.4"
"        Africa","113,823","±3,313","9.4%","±0.3","761","±314","24.9%","±9.2"
"        Oceania","4,098","±490","0.3%","±0.1","44","±39","1.4%","±1.3"
"        Latin America","456,601","±7,328","37.7%","±0.5","840","±293","27.4%","±8.1"
"        Northern America","28,855","±1,370","2.4%","±0.1","152","±87","5.0%","±2.7"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","43,259","±451","43,259","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","39,532","±653","91.4%","±1.1"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","3,727","±462","8.6%","±1.1"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","924","±255","2.1%","±0.6"
