"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01096!!Estimate","ZCTA5 01096!!Margin of Error","ZCTA5 01096!!Percent","ZCTA5 01096!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,058","±104","1,058","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","666","±100","62.9%","±7.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","214","±69","20.2%","±6.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","12","±11","1.1%","±1.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","2","±4","0.2%","±0.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","167","±58","15.8%","±5.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±3.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","91","±45","8.6%","±4.1"
"                65 years and over","102,147","±2,741","3.8%","±0.1","25","±16","2.4%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","213","±63","20.1%","±5.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","0","±13","0.0%","±3.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","175","±59","16.5%","±5.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","109","±40","10.3%","±3.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","241","±70","22.8%","±6.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","400","±65","37.8%","±5.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.28","±0.17","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.73","±0.18","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","2,409","±282","2,409","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,058","±104","43.9%","±3.2"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","668","±104","27.7%","±2.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","12","±11","0.5%","±0.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","526","±137","21.8%","±4.1"
"        Other relatives","394,812","±8,541","5.9%","±0.1","64","±40","2.7%","±1.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","81","±45","3.4%","±1.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,054","±141","1,054","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","280","±85","26.6%","±6.1"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","662","±95","62.8%","±6.5"
"        Separated","37,600","±1,670","1.3%","±0.1","31","±31","2.9%","±3.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","12","±11","1.1%","±1.1"
"        Divorced","227,113","±4,005","8.0%","±0.1","69","±32","6.5%","±3.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,099","±129","1,099","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","178","±71","16.2%","±5.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","711","±113","64.7%","±7.2"
