"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01510!!Estimate","ZCTA5 01510!!Margin of Error","ZCTA5 01510!!Percent","ZCTA5 01510!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","6,455","±385","6,455","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,565","±269","39.7%","±5.4"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,103","±259","17.1%","±4.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","660","±180","10.2%","±2.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","90","±60","1.4%","±0.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,385","±456","21.5%","±6.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","13","±22","0.2%","±0.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,115","±415","17.3%","±5.8"
"                65 years and over","102,147","±2,741","3.8%","±0.1","483","±355","7.5%","±5.3"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,845","±364","28.6%","±5.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","287","±211","4.4%","±3.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,092","±240","16.9%","±3.4"
"                65 years and over","221,896","±3,548","8.2%","±0.1","347","±110","5.4%","±1.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,677","±238","26.0%","±4.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,582","±374","24.5%","±5.1"
"        Average household size","2.48","±0.01","(X)","(X)","2.35","±0.14","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.18","±0.15","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","15,197","±47","15,197","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","6,455","±385","42.5%","±2.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,612","±291","17.2%","±1.9"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","627","±147","4.1%","±1.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","4,253","±418","28.0%","±2.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","712","±298","4.7%","±2.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","538","±216","3.5%","±1.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","6,560","±502","6,560","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,694","±370","41.1%","±4.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,861","±336","43.6%","±5.6"
"        Separated","37,600","±1,670","1.3%","±0.1","104","±64","1.6%","±1.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","111","±74","1.7%","±1.1"
"        Divorced","227,113","±4,005","8.0%","±0.1","790","±399","12.0%","±5.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","6,514","±499","6,514","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,308","±390","35.4%","±4.1"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,771","±286","42.5%","±5.6"
"        Separated","55,256","±1,859","1.8%","±0.1","132","±72","2.0%","±1.1"
"        Widowed","239,073","±3,906","7.9%","±0.1","385","±149","5.9%","±2.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","918","±252","14.1%","±3.5"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","254","±188","254","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","17","±21","6.7%","±10.5"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","7","±9","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","64","±46","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±64","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","55","±36","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","101","±116","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","228","±143","228","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","13","±15","5.7%","±7.2"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","6","±9","2.6%","±4.3"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±21","0.0%","±16.0"
"            3 or 4 years","5,630","±671","4.5%","±0.5","7","±12","3.1%","±6.2"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±21","0.0%","±16.0"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","13","±15","13","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","13","±15","100.0%","±91.2"
"        Who are married","19,550","±1,487","64.5%","±2.5","6","±9","46.2%","±53.8"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","3,431","±402","3,431","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","278","±153","8.1%","±4.7"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","89","±79","2.6%","±2.3"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,033","±265","30.1%","±7.3"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","933","±250","27.2%","±6.3"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","1,098","±319","32.0%","±7.7"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","10,843","±428","10,843","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","152","±96","1.4%","±0.9"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","637","±275","5.9%","±2.4"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","2,494","±403","23.0%","±3.7"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","2,119","±373","19.5%","±3.3"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","1,214","±300","11.2%","±2.9"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","2,593","±433","23.9%","±3.9"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","1,634","±449","15.1%","±4.1"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","10,054","±403","92.7%","±3.0"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","4,227","±526","39.0%","±4.7"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","12,293","±319","12,293","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","426","±134","3.5%","±1.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","15,221","±40","15,221","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","1,692","±324","11.1%","±2.1"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","2,928","±317","2,928","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","152","±96","5.2%","±3.3"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","10,315","±452","10,315","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","1,142","±272","11.1%","±2.6"
"    65 years and over","1,122,280","±664","1,122,280","(X)","1,978","±411","1,978","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","398","±117","20.1%","±5.7"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","15,019","±149","15,019","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","12,894","±654","85.9%","±4.4"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","2,125","±657","14.1%","±4.4"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","2,099","±661","14.0%","±4.4"
"                Same county","446,141","±8,933","6.4%","±0.1","1,362","±586","9.1%","±3.9"
"                Different county","354,693","±6,215","5.1%","±0.1","737","±296","4.9%","±2.0"
"                    Same state","205,752","±5,091","3.0%","±0.1","573","±275","3.8%","±1.8"
"                    Different state","148,941","±3,990","2.2%","±0.1","164","±116","1.1%","±0.8"
"            Abroad","61,536","±2,941","0.9%","±0.1","26","±29","0.2%","±0.2"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","15,221","±40","15,221","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","12,629","±654","83.0%","±4.3"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","12,248","±667","80.5%","±4.4"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","9,685","±811","63.6%","±5.3"
"                Different state","1,398,292","±9,460","20.0%","±0.1","2,563","±507","16.8%","±3.3"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","381","±169","2.5%","±1.1"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","2,592","±651","17.0%","±4.3"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","2,592","±651","2,592","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","1,210","±258","46.7%","±12.8"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","1,382","±613","53.3%","±12.8"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","2,973","±665","2,973","(X)"
"        Native","209,292","±4,176","209,292","(X)","381","±169","381","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","0","±21","0.0%","±10.0"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","381","±169","100.0%","±10.0"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","2,592","±651","2,592","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","1,152","±593","44.4%","±14.3"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","1,440","±307","55.6%","±14.3"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","2,592","±651","2,592","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","396","±264","15.3%","±9.6"
"        Asia","372,717","±3,581","30.8%","±0.3","343","±182","13.2%","±7.1"
"        Africa","113,823","±3,313","9.4%","±0.3","14","±16","0.5%","±0.7"
"        Oceania","4,098","±490","0.3%","±0.1","0","±21","0.0%","±1.5"
"        Latin America","456,601","±7,328","37.7%","±0.5","1,826","±582","70.4%","±11.3"
"        Northern America","28,855","±1,370","2.4%","±0.1","13","±23","0.5%","±0.9"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","14,301","±316","14,301","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","10,827","±719","75.7%","±4.8"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","3,474","±692","24.3%","±4.8"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","1,272","±378","8.9%","±2.6"
"        Spanish","623,189","±4,858","9.4%","±0.1","1,765","±491","12.3%","±3.4"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","852","±362","6.0%","±2.5"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","1,293","±581","9.0%","±4.1"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","269","±202","1.9%","±1.4"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","252","±162","1.8%","±1.1"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","116","±98","0.8%","±0.7"
"        Other languages","99,560","±3,943","1.5%","±0.1","164","±205","1.1%","±1.4"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","35","±48","0.2%","±0.3"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","15,221","±40","15,221","(X)"
"        American","260,364","±6,504","3.7%","±0.1","736","±328","4.8%","±2.2"
"        Arab","72,487","±3,641","1.0%","±0.1","30","±55","0.2%","±0.4"
"        Czech","12,119","±1,098","0.2%","±0.1","0","±21","0.0%","±0.3"
"        Danish","14,346","±1,162","0.2%","±0.1","105","±116","0.7%","±0.8"
"        Dutch","34,354","±1,922","0.5%","±0.1","289","±335","1.9%","±2.2"
"        English","655,283","±8,406","9.4%","±0.1","1,108","±408","7.3%","±2.7"
"        French (except Basque)","375,415","±6,388","5.4%","±0.1","1,057","±412","6.9%","±2.7"
"        French Canadian","235,524","±4,384","3.4%","±0.1","593","±279","3.9%","±1.8"
"        German","387,135","±7,027","5.5%","±0.1","967","±285","6.4%","±1.9"
"        Greek","76,566","±3,218","1.1%","±0.1","130","±131","0.9%","±0.9"
"        Hungarian","19,068","±1,432","0.3%","±0.1","195","±259","1.3%","±1.7"
"        Irish","1,345,219","±11,619","19.2%","±0.2","3,134","±594","20.6%","±3.9"
"        Italian","815,794","±9,186","11.7%","±0.1","2,008","±601","13.2%","±3.9"
"        Lithuanian","43,215","±2,035","0.6%","±0.1","201","±174","1.3%","±1.1"
"        Norwegian","35,032","±1,997","0.5%","±0.1","75","±57","0.5%","±0.4"
"        Polish","283,050","±4,814","4.0%","±0.1","819","±265","5.4%","±1.7"
"        Portuguese","270,183","±5,260","3.9%","±0.1","972","±613","6.4%","±4.0"
"        Russian","91,511","±3,161","1.3%","±0.1","88","±87","0.6%","±0.6"
"        Scotch-Irish","41,714","±2,151","0.6%","±0.1","71","±63","0.5%","±0.4"
"        Scottish","134,503","±3,385","1.9%","±0.1","308","±151","2.0%","±1.0"
"        Slovak","7,069","±828","0.1%","±0.1","0","±21","0.0%","±0.3"
"        Subsaharan African","158,921","±4,752","2.3%","±0.1","37","±26","0.2%","±0.2"
"        Swedish","102,031","±2,873","1.5%","±0.1","113","±89","0.7%","±0.6"
"        Swiss","10,126","±912","0.1%","±0.1","44","±50","0.3%","±0.3"
"        Ukrainian","24,760","±1,792","0.4%","±0.1","95","±84","0.6%","±0.5"
"        Welsh","23,388","±1,506","0.3%","±0.1","90","±88","0.6%","±0.6"
"        West Indian (excluding Hispanic origin groups)","139,627","±4,694","2.0%","±0.1","48","±47","0.3%","±0.3"
"COMPUTERS AND INTERNET USE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","6,455","±385","6,455","(X)"
"        With a computer","2,538,022","±5,269","93.5%","±0.1","6,089","±390","94.3%","±2.0"
"        With a broadband Internet subscription","2,431,466","±6,695","89.6%","±0.2","5,882","±370","91.1%","±2.4"
