"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02128!!Estimate","ZCTA5 02128!!Margin of Error","ZCTA5 02128!!Percent","ZCTA5 02128!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","16,925","±763","16,925","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","5,132","±493","30.3%","±2.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,192","±326","13.0%","±1.8"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","2,026","±528","12.0%","±2.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","532","±167","3.1%","±1.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","4,362","±482","25.8%","±2.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","255","±122","1.5%","±0.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,328","±345","13.8%","±2.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","492","±181","2.9%","±1.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","5,405","±438","31.9%","±2.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,122","±294","6.6%","±1.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,582","±292","15.3%","±1.8"
"                65 years and over","221,896","±3,548","8.2%","±0.1","973","±198","5.7%","±1.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","4,667","±441","27.6%","±2.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,999","±334","17.7%","±2.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.68","±0.09","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.29","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","45,299","±2,396","45,299","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","16,925","±763","37.4%","±1.2"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","5,205","±516","11.5%","±1.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,976","±487","4.4%","±1.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","10,940","±1,004","24.2%","±1.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","4,258","±787","9.4%","±1.6"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","5,995","±1,035","13.2%","±2.1"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","19,729","±1,226","19,729","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","10,325","±992","52.3%","±3.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","6,837","±627","34.7%","±3.1"
"        Separated","37,600","±1,670","1.3%","±0.1","925","±278","4.7%","±1.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","330","±144","1.7%","±0.7"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,312","±342","6.7%","±1.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","18,400","±1,019","18,400","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","8,968","±839","48.7%","±2.9"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","6,088","±561","33.1%","±2.9"
"        Separated","55,256","±1,859","1.8%","±0.1","850","±231","4.6%","±1.2"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,087","±200","5.9%","±1.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,407","±307","7.6%","±1.6"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","632","±183","632","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","237","±151","37.5%","±18.1"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","27","±17","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","47","±13","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±38","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","63","±24","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","33","±19","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","837","±220","837","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","185","±108","22.1%","±10.9"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","69","±65","8.2%","±7.5"
"            1 or 2 years","6,316","±677","5.0%","±0.5","20","±36","2.4%","±4.2"
"            3 or 4 years","5,630","±671","4.5%","±0.5","32","±48","3.8%","±5.4"
"            5 or more years","13,647","±1,024","10.9%","±0.8","64","±58","7.6%","±6.9"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","185","±108","185","(X)"
