"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01034!!Estimate","ZCTA5 01034!!Margin of Error","ZCTA5 01034!!Percent","ZCTA5 01034!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","830","±91","830","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","468","±64","56.4%","±6.3"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","147","±44","17.7%","±4.9"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","105","±58","12.7%","±6.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","31","±37","3.7%","±4.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","138","±44","16.6%","±5.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","12","±12","1.4%","±1.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","84","±34","10.1%","±4.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","46","±21","5.5%","±2.3"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","119","±32","14.3%","±3.9"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","8","±11","1.0%","±1.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","67","±21","8.1%","±2.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","47","±20","5.7%","±2.3"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","235","±57","28.3%","±6.1"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","307","±50","37.0%","±5.5"
"        Average household size","2.48","±0.01","(X)","(X)","2.40","±0.14","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.71","±0.19","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,991","±224","1,991","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","830","±91","41.7%","±2.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","461","±61","23.2%","±2.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","116","±74","5.8%","±3.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","454","±97","22.8%","±3.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","74","±30","3.7%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","56","±36","2.8%","±1.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","878","±99","878","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","237","±69","27.0%","±6.2"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","513","±73","58.4%","±6.2"
"        Separated","37,600","±1,670","1.3%","±0.1","35","±36","4.0%","±4.1"
