"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01835!!Estimate","ZCTA5 01835!!Margin of Error","ZCTA5 01835!!Percent","ZCTA5 01835!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","5,434","±303","5,434","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,690","±285","49.5%","±4.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","991","±225","18.2%","±3.7"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","567","±224","10.4%","±4.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","128","±105","2.4%","±1.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","896","±229","16.5%","±4.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","60","±71","1.1%","±1.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","643","±193","11.8%","±3.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","150","±73","2.8%","±1.3"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,281","±217","23.6%","±3.9"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","328","±146","6.0%","±2.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","546","±129","10.0%","±2.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","323","±106","5.9%","±1.9"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,603","±269","29.5%","±4.1"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,424","±166","26.2%","±2.9"
"        Average household size","2.48","±0.01","(X)","(X)","2.58","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.03","±0.14","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","14,036","±992","14,036","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","5,434","±303","38.7%","±1.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,673","±300","19.0%","±1.9"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","612","±252","4.4%","±1.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","3,917","±489","27.9%","±2.3"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,075","±346","7.7%","±2.3"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","325","±142","2.3%","±1.0"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","5,872","±521","5,872","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,132","±430","36.3%","±5.4"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,833","±279","48.2%","±4.9"
"        Separated","37,600","±1,670","1.3%","±0.1","54","±55","0.9%","±0.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","192","±101","3.3%","±1.7"
"        Divorced","227,113","±4,005","8.0%","±0.1","661","±172","11.3%","±2.8"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","6,349","±539","6,349","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,130","±395","33.5%","±4.8"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,980","±339","46.9%","±4.5"
"        Separated","55,256","±1,859","1.8%","±0.1","122","±72","1.9%","±1.1"
"        Widowed","239,073","±3,906","7.9%","±0.1","274","±139","4.3%","±2.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","843","±174","13.3%","±2.8"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","128","±77","128","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","77","±72","60.2%","±31.7"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","36","±34","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","35","±20","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±51","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","80","±49","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","5","±9","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","153","±79","153","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","34","±44","22.2%","±25.5"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","34","±44","22.2%","±25.5"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±21","0.0%","±22.7"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±21","0.0%","±22.7"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±21","0.0%","±22.7"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","34","±44","34","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","19","±22","55.9%","±26.2"
"        Who are married","19,550","±1,487","64.5%","±2.5","34","±44","100.0%","±56.4"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","3,137","±475","3,137","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","80","±68","2.6%","±2.1"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","131","±99","4.2%","±3.2"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,172","±354","37.4%","±8.2"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","859","±195","27.4%","±5.8"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","895","±240","28.5%","±7.1"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","10,133","±783","10,133","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","127","±103","1.3%","±1.0"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","361","±157","3.6%","±1.4"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","2,582","±477","25.5%","±4.9"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","1,955","±386","19.3%","±3.4"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","1,420","±387","14.0%","±3.6"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","2,463","±463","24.3%","±3.9"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","1,225","±235","12.1%","±2.3"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","9,645","±709","95.2%","±1.6"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","3,688","±509","36.4%","±4.1"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","11,632","±784","11,632","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","604","±174","5.2%","±1.5"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","14,135","±989","14,135","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","1,672","±419","11.8%","±2.6"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","2,523","±416","2,523","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","187","±138","7.4%","±4.7"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","9,707","±743","9,707","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","1,007","±308","10.4%","±2.9"
"    65 years and over","1,122,280","±664","1,122,280","(X)","1,905","±255","1,905","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","478","±168","25.1%","±6.5"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","14,032","±960","14,032","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","12,427","±911","88.6%","±3.8"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","1,605","±559","11.4%","±3.8"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","1,566","±552","11.2%","±3.7"
"                Same county","446,141","±8,933","6.4%","±0.1","1,261","±494","9.0%","±3.4"
"                Different county","354,693","±6,215","5.1%","±0.1","305","±199","2.2%","±1.4"
"                    Same state","205,752","±5,091","3.0%","±0.1","271","±202","1.9%","±1.4"
"                    Different state","148,941","±3,990","2.2%","±0.1","34","±36","0.2%","±0.3"
"            Abroad","61,536","±2,941","0.9%","±0.1","39","±35","0.3%","±0.2"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","14,164","±988","14,164","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","13,153","±1,008","92.9%","±2.3"
