"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01522!!Estimate","ZCTA5 01522!!Margin of Error","ZCTA5 01522!!Percent","ZCTA5 01522!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,159","±146","1,159","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","649","±112","56.0%","±8.2"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","289","±84","24.9%","±7.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","87","±70","7.5%","±6.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","17","±18","1.5%","±1.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","244","±120","21.1%","±9.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","22","±33","1.9%","±2.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","213","±112","18.4%","±8.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","25","±40","2.2%","±3.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","179","±66","15.4%","±5.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","41","±40","3.5%","±3.5"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","107","±45","9.2%","±3.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","43","±26","3.7%","±2.3"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","374","±96","32.3%","±8.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","333","±76","28.7%","±6.9"
"        Average household size","2.48","±0.01","(X)","(X)","2.51","±0.23","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.14","±0.28","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","2,907","±385","2,907","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,159","±146","39.9%","±3.8"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","632","±103","21.7%","±2.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","87","±69","3.0%","±2.4"
"        Child","1,898,296","±5,188","28.1%","±0.1","922","±221","31.7%","±4.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","76","±47","2.6%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","31","±30","1.1%","±1.0"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,229","±186","1,229","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","398","±125","32.4%","±8.2"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","655","±112","53.3%","±7.5"
"        Separated","37,600","±1,670","1.3%","±0.1","10","±15","0.8%","±1.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","49","±54","4.0%","±4.3"
