"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01453!!Estimate","ZCTA5 01453!!Margin of Error","ZCTA5 01453!!Percent","ZCTA5 01453!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","17,896","±672","17,896","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","7,965","±463","44.5%","±3.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","3,221","±368","18.0%","±2.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,385","±282","7.7%","±1.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","314","±154","1.8%","±0.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","3,595","±507","20.1%","±2.8"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","264","±135","1.5%","±0.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,436","±458","13.6%","±2.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","668","±279","3.7%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","4,951","±749","27.7%","±3.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,030","±318","5.8%","±1.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","3,028","±672","16.9%","±3.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","1,795","±595","10.0%","±3.1"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","5,265","±451","29.4%","±3.1"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","5,620","±660","31.4%","±3.0"
"        Average household size","2.48","±0.01","(X)","(X)","2.41","±0.09","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.06","±0.10","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
