"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01930!!Estimate","ZCTA5 01930!!Margin of Error","ZCTA5 01930!!Percent","ZCTA5 01930!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","13,168","±391","13,168","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","6,282","±299","47.7%","±2.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,898","±222","14.4%","±1.8"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","915","±191","6.9%","±1.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","123","±67","0.9%","±0.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","2,280","±374","17.3%","±2.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","129","±95","1.0%","±0.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,655","±318","12.6%","±2.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","523","±160","4.0%","±1.2"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","3,691","±439","28.0%","±3.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","452","±148","3.4%","±1.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,363","±352","17.9%","±2.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","1,301","±298","9.9%","±2.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,849","±201","21.6%","±1.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","5,084","±413","38.6%","±2.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.24","±0.06","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.80","±0.08","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","29,485","±154","29,485","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","13,168","±391","44.7%","±1.2"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","6,291","±328","21.3%","±1.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","948","±203","3.2%","±0.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","7,080","±438","24.0%","±1.5"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,177","±242","4.0%","±0.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","821","±192","2.8%","±0.6"
