"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01810!!Estimate","ZCTA5 01810!!Margin of Error","ZCTA5 01810!!Percent","ZCTA5 01810!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","13,235","±371","13,235","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","8,696","±403","65.7%","±2.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","4,210","±284","31.8%","±2.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","485","±165","3.7%","±1.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","156","±93","1.2%","±0.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,566","±294","11.8%","±2.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","93","±62","0.7%","±0.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,325","±270","10.0%","±1.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","439","±163","3.3%","±1.2"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,488","±313","18.8%","±2.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","476","±168","3.6%","±1.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,441","±232","10.9%","±1.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","692","±176","5.2%","±1.3"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","5,100","±268","38.5%","±2.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,819","±307","28.9%","±2.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.63","±0.07","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.05","±0.09","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","34,743","±353","34,743","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","13,235","±371","38.1%","±1.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","8,496","±359","24.5%","±1.0"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","526","±185","1.5%","±0.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","11,309","±505","32.6%","±1.4"
"        Other relatives","394,812","±8,541","5.9%","±0.1","906","±249","2.6%","±0.7"
