"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01035!!Estimate","ZCTA5 01035!!Margin of Error","ZCTA5 01035!!Percent","ZCTA5 01035!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","2,254","±168","2,254","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,071","±154","47.5%","±7.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","371","±99","16.5%","±5.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","146","±98","6.5%","±4.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","7","±14","0.3%","±0.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","344","±154","15.3%","±6.4"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","31","±47","1.4%","±2.1"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","219","±112","9.7%","±4.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","155","±92","6.9%","±3.9"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","693","±190","30.7%","±7.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","60","±52","2.7%","±2.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","404","±149","17.9%","±5.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","258","±146","11.4%","±6.1"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","515","±89","22.8%","±4.8"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","920","±189","40.8%","±6.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.30","±0.17","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.82","±0.20","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","5,174","±106","5,174","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","2,254","±168","43.6%","±3.2"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,065","±145","20.6%","±2.8"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","181","±129","3.5%","±2.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,262","±246","24.4%","±4.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","220","±127","4.3%","±2.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","192","±133","3.7%","±2.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,085","±213","2,085","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","707","±186","33.9%","±7.4"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,056","±158","50.6%","±7.8"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±19","0.0%","±1.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","96","±66","4.6%","±3.0"
"        Divorced","227,113","±4,005","8.0%","±0.1","226","±110","10.8%","±5.1"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","2,475","±235","2,475","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","703","±237","28.4%","±8.4"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,181","±173","47.7%","±7.9"
"        Separated","55,256","±1,859","1.8%","±0.1","32","±34","1.3%","±1.3"
"        Widowed","239,073","±3,906","7.9%","±0.1","315","±176","12.7%","±6.7"
"        Divorced","324,764","±4,024","10.7%","±0.1","244","±92","9.9%","±3.7"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","42","±52","42","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","7","±14","16.7%","±34.6"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","13","±26","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","42","±53","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±206","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","101","±127","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±91","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","52","±57","52","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","28","±48","53.8%","±53.8"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±19","0.0%","±45.6"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±19","0.0%","±45.6"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±19","0.0%","±45.6"
"            5 or more years","13,647","±1,024","10.9%","±0.8","28","±48","53.8%","±53.8"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","28","±48","28","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","14","±24","50.0%","±7.2"
"        Who are married","19,550","±1,487","64.5%","±2.5","28","±48","100.0%","±62.2"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,383","±249","1,383","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","41","±48","3.0%","±3.5"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","61","±58","4.4%","±4.2"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","463","±147","33.5%","±10.5"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","278","±121","20.1%","±8.4"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","540","±221","39.0%","±12.2"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","3,972","±245","3,972","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","29","±33","0.7%","±0.8"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","88","±63","2.2%","±1.6"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","714","±221","18.0%","±5.4"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","619","±211","15.6%","±5.1"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","211","±110","5.3%","±2.8"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","1,402","±260","35.3%","±6.4"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","909","±234","22.9%","±5.7"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","3,855","±259","97.1%","±1.8"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","2,311","±330","58.2%","±7.6"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","4,345","±215","4,345","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","296","±114","6.8%","±2.6"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","5,192","±104","5,192","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","512","±168","9.9%","±3.3"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","947","±216","947","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","0","±19","0.0%","±4.1"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","3,034","±262","3,034","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","265","±111","8.7%","±3.7"
"    65 years and over","1,122,280","±664","1,122,280","(X)","1,211","±196","1,211","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","247","±128","20.4%","±9.1"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","5,263","±42","5,263","(X)"
