"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01862!!Estimate","ZCTA5 01862!!Margin of Error","ZCTA5 01862!!Percent","ZCTA5 01862!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,956","±428","3,956","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,813","±264","45.8%","±6.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","668","±159","16.9%","±4.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","511","±270","12.9%","±6.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","170","±135","4.3%","±3.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","864","±406","21.8%","±8.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","25","±45","0.6%","±1.1"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","515","±193","13.0%","±4.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","86","±61","2.2%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","768","±193","19.4%","±5.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","49","±54","1.2%","±1.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","405","±130","10.2%","±3.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","144","±72","3.6%","±1.9"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","991","±194","25.1%","±4.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,167","±176","29.5%","±4.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.42","±0.13","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.81","±0.21","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","9,585","±1,064","9,585","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","3,956","±428","41.3%","±2.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,780","±264","18.6%","±2.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","547","±285","5.7%","±2.9"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,335","±461","24.4%","±3.5"
"        Other relatives","394,812","±8,541","5.9%","±0.1","732","±266","7.6%","±2.6"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","235","±155","2.5%","±1.5"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","5,377","±821","5,377","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,199","±329","40.9%","±6.4"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,086","±268","38.8%","±6.6"
"        Separated","37,600","±1,670","1.3%","±0.1","140","±144","2.6%","±2.4"
"        Widowed","65,484","±1,934","2.3%","±0.1","99","±58","1.8%","±1.1"
"        Divorced","227,113","±4,005","8.0%","±0.1","853","±531","15.9%","±7.8"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","4,144","±521","4,144","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,425","±468","34.4%","±8.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,879","±299","45.3%","±8.0"
"        Separated","55,256","±1,859","1.8%","±0.1","56","±60","1.4%","±1.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","395","±168","9.5%","±4.0"
"        Divorced","324,764","±4,024","10.7%","±0.1","389","±160","9.4%","±3.9"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","66","±65","66","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","8","±11","12.1%","±20.9"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","6","±9","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","30","±27","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±129","(X)","(X)"
