"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01742!!Estimate","ZCTA5 01742!!Margin of Error","ZCTA5 01742!!Percent","ZCTA5 01742!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","6,357","±291","6,357","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","4,036","±257","63.5%","±3.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,891","±187","29.7%","±3.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","124","±61","2.0%","±0.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","78","±49","1.2%","±0.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","732","±201","11.5%","±3.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","95","±78","1.5%","±1.2"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","509","±156","8.0%","±2.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","300","±106","4.7%","±1.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,465","±278","23.0%","±4.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","141","±87","2.2%","±1.4"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,061","±212","16.7%","±3.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","700","±144","11.0%","±2.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,236","±187","35.2%","±3.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,527","±281","39.8%","±3.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.66","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.19","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","16,916","±276","16,916","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","6,357","±291","37.6%","±1.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","4,022","±254","23.8%","±1.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","140","±67","0.8%","±0.4"
"        Child","1,898,296","±5,188","28.1%","±0.1","5,661","±352","33.5%","±2.0"
"        Other relatives","394,812","±8,541","5.9%","±0.1","379","±155","2.2%","±0.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","357","±222","2.1%","±1.3"
"MARITAL STATUS","","","","","","","",""
