"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01609!!Estimate","ZCTA5 01609!!Margin of Error","ZCTA5 01609!!Percent","ZCTA5 01609!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","8,439","±645","8,439","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,749","±420","32.6%","±4.6"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","809","±219","9.6%","±2.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","428","±174","5.1%","±2.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","13","±23","0.2%","±0.3"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","2,343","±488","27.8%","±4.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±25","0.0%","±0.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,786","±457","21.2%","±4.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","421","±130","5.0%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,919","±399","34.6%","±4.2"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","365","±145","4.3%","±1.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,827","±367","21.6%","±4.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","946","±286","11.2%","±3.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,382","±284","16.4%","±3.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,489","±390","29.5%","±4.0"
"        Average household size","2.48","±0.01","(X)","(X)","2.16","±0.16","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.99","±0.24","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","18,243","±1,690","18,243","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","8,439","±645","46.3%","±3.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,762","±406","15.1%","±2.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","460","±190","2.5%","±1.1"
"        Child","1,898,296","±5,188","28.1%","±0.1","3,544","±593","19.4%","±2.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","937","±745","5.1%","±3.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","2,101","±635","11.5%","±3.1"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","11,162","±1,012","11,162","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","6,647","±840","59.6%","±4.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,186","±438","28.5%","±3.7"
"        Separated","37,600","±1,670","1.3%","±0.1","45","±37","0.4%","±0.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","372","±196","3.3%","±1.7"
"        Divorced","227,113","±4,005","8.0%","±0.1","912","±334","8.2%","±2.9"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","10,074","±821","10,074","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","5,035","±646","50.0%","±4.7"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,160","±447","31.4%","±3.6"
"        Separated","55,256","±1,859","1.8%","±0.1","252","±111","2.5%","±1.1"
"        Widowed","239,073","±3,906","7.9%","±0.1","889","±251","8.8%","±2.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","738","±263","7.3%","±2.5"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","128","±99","128","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","27","±34","21.1%","±28.9"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","6","±7","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","20","±15","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±27","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","35","±28","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","14","±28","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","164","±126","164","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","34","±40","20.7%","±28.0"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","34","±40","20.7%","±28.0"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±25","0.0%","±21.4"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±25","0.0%","±21.4"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±25","0.0%","±21.4"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","34","±40","34","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","9","±15","26.5%","±30.4"
"        Who are married","19,550","±1,487","64.5%","±2.5","34","±40","100.0%","±56.4"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","9,779","±1,052","9,779","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","127","±101","1.3%","±1.1"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","118","±85","1.2%","±0.8"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,470","±519","15.0%","±4.8"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","660","±210","6.7%","±2.0"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","7,404","±890","75.7%","±5.5"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","13,563","±1,109","13,563","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","601","±184","4.4%","±1.3"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","1,089","±307","8.0%","±2.1"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","2,824","±545","20.8%","±3.4"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","2,098","±402","15.5%","±2.7"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","863","±231","6.4%","±1.7"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","2,928","±418","21.6%","±3.0"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","3,160","±554","23.3%","±3.3"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","11,873","±1,034","87.5%","±2.7"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","6,088","±686","44.9%","±3.6"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","20,737","±1,438","20,737","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","787","±186","3.8%","±1.0"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","23,119","±1,755","23,119","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","3,282","±497","14.2%","±2.2"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","2,763","±753","2,763","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","95","±86","3.4%","±3.1"
