"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01949!!Estimate","ZCTA5 01949!!Margin of Error","ZCTA5 01949!!Percent","ZCTA5 01949!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,122","±205","3,122","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,222","±183","71.2%","±6.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","742","±158","23.8%","±5.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","119","±63","3.8%","±2.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","11","±19","0.4%","±0.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","277","±127","8.9%","±4.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±19","0.0%","±1.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","226","±126","7.2%","±3.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","69","±56","2.2%","±1.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","504","±188","16.1%","±5.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","19","±30","0.6%","±1.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","418","±170","13.4%","±5.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","254","±119","8.1%","±3.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","902","±135","28.9%","±4.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,373","±236","44.0%","±7.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.73","±0.16","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.17","±0.20","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","8,527","±211","8,527","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","3,122","±205","36.6%","±2.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,179","±176","25.6%","±1.9"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","125","±64","1.5%","±0.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,969","±218","23.1%","±2.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","930","±220","10.9%","±2.6"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","202","±177","2.4%","±2.1"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","4,803","±300","4,803","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,890","±295","39.4%","±4.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,465","±161","51.3%","±4.6"
"        Separated","37,600","±1,670","1.3%","±0.1","74","±80","1.5%","±1.6"
"        Widowed","65,484","±1,934","2.3%","±0.1","85","±65","1.8%","±1.3"
"        Divorced","227,113","±4,005","8.0%","±0.1","289","±104","6.0%","±2.1"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","3,595","±244","3,595","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","430","±132","12.0%","±3.4"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,333","±190","64.9%","±5.5"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±19","0.0%","±1.1"
"        Widowed","239,073","±3,906","7.9%","±0.1","588","±176","16.4%","±4.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","244","±115","6.8%","±3.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","40","±46","40","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±19","0.0%","±52.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±96","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","30","±35","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±351","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","67","±78","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±61","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","377","±183","377","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","64","±106","17.0%","±25.1"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±19","0.0%","±10.1"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±19","0.0%","±10.1"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±19","0.0%","±10.1"
"            5 or more years","13,647","±1,024","10.9%","±0.8","64","±106","17.0%","±25.1"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","64","±106","64","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","32","±53","50.0%","±3.8"
"        Who are married","19,550","±1,487","64.5%","±2.5","64","±106","100.0%","±41.1"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,529","±276","1,529","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","220","±122","14.4%","±7.3"
