"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02152!!Estimate","ZCTA5 02152!!Margin of Error","ZCTA5 02152!!Percent","ZCTA5 02152!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","8,242","±398","8,242","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,246","±290","39.4%","±4.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,186","±182","14.4%","±2.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","571","±158","6.9%","±1.8"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","70","±65","0.8%","±0.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,680","±331","20.4%","±3.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","136","±107","1.7%","±1.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,177","±278","14.3%","±3.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","441","±151","5.4%","±1.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,745","±425","33.3%","±4.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","239","±142","2.9%","±1.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,773","±395","21.5%","±4.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","983","±244","11.9%","±2.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,805","±187","21.9%","±2.8"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,931","±329","35.6%","±3.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.30","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.08","±0.12","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","18,997","±74","18,997","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","8,242","±398","43.4%","±2.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,255","±300","17.1%","±1.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","569","±148","3.0%","±0.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","4,834","±424","25.4%","±2.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,383","±356","7.3%","±1.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","714","±222","3.8%","±1.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","8,030","±358","8,030","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,998","±389","37.3%","±4.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,734","±312","46.5%","±4.3"
"        Separated","37,600","±1,670","1.3%","±0.1","122","±63","1.5%","±0.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","318","±149","4.0%","±1.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","858","±216","10.7%","±2.6"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","8,480","±399","8,480","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,508","±375","29.6%","±3.9"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,504","±292","41.3%","±4.2"
"        Separated","55,256","±1,859","1.8%","±0.1","50","±38","0.6%","±0.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","996","±301","11.7%","±3.4"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,422","±281","16.8%","±3.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","235","±114","235","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","35","±33","14.9%","±15.3"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","13","±12","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","54","±27","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±104","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","75","±46","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","47","±37","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","213","±89","213","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","82","±62","38.5%","±21.6"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","40","±42","18.8%","±18.0"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±21","0.0%","±17.0"
"            3 or 4 years","5,630","±671","4.5%","±0.5","9","±13","4.2%","±6.0"
"            5 or more years","13,647","±1,024","10.9%","±0.8","33","±41","15.5%","±16.7"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","82","±62","82","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","75","±59","91.5%","±15.9"
"        Who are married","19,550","±1,487","64.5%","±2.5","23","±27","28.0%","±34.9"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","4,071","±488","4,071","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","256","±144","6.3%","±3.8"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","115","±67","2.8%","±1.6"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,524","±287","37.4%","±6.0"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","818","±221","20.1%","±4.5"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","1,358","±336","33.4%","±6.3"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","14,699","±417","14,699","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","354","±183","2.4%","±1.2"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","330","±121","2.2%","±0.8"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","4,035","±438","27.5%","±2.9"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","2,540","±373","17.3%","±2.6"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","1,210","±230","8.2%","±1.6"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","4,062","±509","27.6%","±3.1"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","2,168","±306","14.7%","±2.1"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","14,015","±399","95.3%","±1.3"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","6,230","±554","42.4%","±3.4"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","15,726","±367","15,726","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","781","±200","5.0%","±1.3"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","19,046","±37","19,046","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","2,485","±404","13.0%","±2.1"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","3,346","±368","3,346","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","153","±126","4.6%","±3.8"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","11,845","±398","11,845","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","1,139","±277","9.6%","±2.3"
"    65 years and over","1,122,280","±664","1,122,280","(X)","3,855","±408","3,855","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","1,193","±259","30.9%","±5.5"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","18,784","±133","18,784","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","16,402","±509","87.3%","±2.6"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","2,382","±482","12.7%","±2.6"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","2,330","±488","12.4%","±2.6"
"                Same county","446,141","±8,933","6.4%","±0.1","1,430","±457","7.6%","±2.4"
"                Different county","354,693","±6,215","5.1%","±0.1","900","±279","4.8%","±1.5"
"                    Same state","205,752","±5,091","3.0%","±0.1","530","±234","2.8%","±1.2"
"                    Different state","148,941","±3,990","2.2%","±0.1","370","±155","2.0%","±0.8"
"            Abroad","61,536","±2,941","0.9%","±0.1","52","±42","0.3%","±0.2"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","19,088","±22","19,088","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","15,731","±638","82.4%","±3.3"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","15,420","±633","80.8%","±3.3"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","12,116","±677","63.5%","±3.5"
"                Different state","1,398,292","±9,460","20.0%","±0.1","3,304","±383","17.3%","±2.0"
