"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01331!!Estimate","ZCTA5 01331!!Margin of Error","ZCTA5 01331!!Percent","ZCTA5 01331!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","5,450","±248","5,450","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,507","±226","46.0%","±4.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","789","±145","14.5%","±2.8"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","677","±186","12.4%","±3.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","240","±132","4.4%","±2.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","938","±186","17.2%","±3.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","50","±49","0.9%","±0.9"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","660","±149","12.1%","±2.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","179","±64","3.3%","±1.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,328","±274","24.4%","±4.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","135","±86","2.5%","±1.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","797","±225","14.6%","±3.8"
"                65 years and over","221,896","±3,548","8.2%","±0.1","321","±82","5.9%","±1.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,407","±161","25.8%","±3.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,785","±186","32.8%","±3.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.52","±0.12","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.03","±0.14","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","13,741","±292","13,741","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","5,450","±248","39.7%","±1.8"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,545","±215","18.5%","±1.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","649","±183","4.7%","±1.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","3,967","±330","28.9%","±2.1"
"        Other relatives","394,812","±8,541","5.9%","±0.1","700","±204","5.1%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","430","±146","3.1%","±1.1"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","5,704","±314","5,704","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,954","±282","34.3%","±3.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,616","±214","45.9%","±4.6"
