"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01521!!Estimate","ZCTA5 01521!!Margin of Error","ZCTA5 01521!!Percent","ZCTA5 01521!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,106","±94","1,106","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","495","±68","44.8%","±7.6"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","167","±53","15.1%","±5.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","95","±40","8.6%","±3.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","31","±16","2.8%","±1.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","284","±108","25.7%","±8.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","27","±29","2.4%","±2.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","244","±110","22.1%","±8.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","42","±27","3.8%","±2.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","232","±70","21.0%","±6.2"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","47","±34","4.2%","±3.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","107","±48","9.7%","±4.2"
"                65 years and over","221,896","±3,548","8.2%","±0.1","59","±37","5.3%","±3.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","298","±56","26.9%","±6.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","360","±71","32.5%","±6.0"
"        Average household size","2.48","±0.01","(X)","(X)","2.34","±0.20","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.97","±0.20","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
