"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01569!!Estimate","ZCTA5 01569!!Margin of Error","ZCTA5 01569!!Percent","ZCTA5 01569!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","5,327","±354","5,327","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,994","±285","56.2%","±6.3"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,096","±195","20.6%","±4.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","468","±187","8.8%","±3.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","159","±108","3.0%","±2.1"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","535","±186","10.0%","±3.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","46","±52","0.9%","±1.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","380","±152","7.1%","±2.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","147","±80","2.8%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,330","±416","25.0%","±6.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","178","±125","3.3%","±2.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","673","±358","12.6%","±6.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","379","±153","7.1%","±2.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,606","±198","30.1%","±4.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,743","±240","32.7%","±5.0"
"        Average household size","2.48","±0.01","(X)","(X)","2.61","±0.17","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.00","±0.15","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","13,883","±349","13,883","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","5,327","±354","38.4%","±2.6"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,965","±275","21.4%","±1.9"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","482","±200","3.5%","±1.4"
"        Child","1,898,296","±5,188","28.1%","±0.1","4,105","±442","29.6%","±2.9"
"        Other relatives","394,812","±8,541","5.9%","±0.1","843","±244","6.1%","±1.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","161","±126","1.2%","±0.9"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","5,735","±375","5,735","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,084","±331","36.3%","±4.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,120","±302","54.4%","±5.4"
"        Separated","37,600","±1,670","1.3%","±0.1","27","±44","0.5%","±0.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","84","±70","1.5%","±1.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","420","±150","7.3%","±2.5"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","5,965","±397","5,965","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,285","±292","21.5%","±4.5"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,033","±279","50.8%","±5.7"
"        Separated","55,256","±1,859","1.8%","±0.1","329","±350","5.5%","±5.7"
"        Widowed","239,073","±3,906","7.9%","±0.1","737","±229","12.4%","±3.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","581","±210","9.7%","±3.6"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","156","±105","156","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","97","±91","62.2%","±35.5"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","74","±69","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","58","±39","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±122","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","165","±105","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±28","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","126","±77","126","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±21","0.0%","±26.7"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±21","0.0%","±26.7"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±21","0.0%","±26.7"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±21","0.0%","±26.7"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±21","0.0%","±26.7"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","0","±21","0","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±21","-","**"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±21","-","**"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","2,878","±461","2,878","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","206","±107","7.2%","±3.7"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","102","±81","3.5%","±2.8"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,242","±253","43.2%","±8.1"
