"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01944!!Estimate","ZCTA5 01944!!Margin of Error","ZCTA5 01944!!Percent","ZCTA5 01944!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","2,080","±181","2,080","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,382","±111","66.4%","±6.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","611","±123","29.4%","±7.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","112","±74","5.4%","±3.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","28","±36","1.3%","±1.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","165","±78","7.9%","±3.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","18","±28","0.9%","±1.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","127","±75","6.1%","±3.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","28","±32","1.3%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","421","±172","20.2%","±7.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","0","±19","0.0%","±1.9"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","385","±167","18.5%","±7.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","207","±153","10.0%","±6.9"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","668","±124","32.1%","±7.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","825","±200","39.7%","±7.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.58","±0.22","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.09","±0.23","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","5,371","±29","5,371","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","2,080","±181","38.7%","±3.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,352","±102","25.2%","±1.9"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","110","±71","2.0%","±1.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,609","±245","30.0%","±4.5"
"        Other relatives","394,812","±8,541","5.9%","±0.1","144","±131","2.7%","±2.4"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","76","±57","1.4%","±1.1"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,048","±128","2,048","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","428","±143","20.9%","±6.4"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,447","±108","70.7%","±6.1"
"        Separated","37,600","±1,670","1.3%","±0.1","19","±31","0.9%","±1.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","15","±23","0.7%","±1.1"
"        Divorced","227,113","±4,005","8.0%","±0.1","139","±77","6.8%","±3.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","2,261","±221","2,261","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","414","±153","18.3%","±5.8"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,397","±104","61.8%","±7.5"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±19","0.0%","±1.8"
"        Widowed","239,073","±3,906","7.9%","±0.1","160","±119","7.1%","±4.9"
"        Divorced","324,764","±4,024","10.7%","±0.1","290","±152","12.8%","±6.3"
"FERTILITY","","","","","","","",""
