"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02030!!Estimate","ZCTA5 02030!!Margin of Error","ZCTA5 02030!!Percent","ZCTA5 02030!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,916","±108","1,916","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,519","±102","79.3%","±4.6"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","767","±104","40.0%","±5.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","15","±24","0.8%","±1.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±19","0.0%","±2.1"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","75","±45","3.9%","±2.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","9","±15","0.5%","±0.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","45","±36","2.3%","±1.8"
"                65 years and over","102,147","±2,741","3.8%","±0.1","41","±36","2.1%","±1.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","307","±96","16.0%","±4.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","49","±33","2.6%","±1.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","176","±63","9.2%","±3.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","114","±50","5.9%","±2.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","919","±114","48.0%","±5.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","632","±107","33.0%","±5.0"
"        Average household size","2.48","±0.01","(X)","(X)","3.08","±0.17","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.33","±0.17","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","5,894","±22","5,894","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,916","±108","32.5%","±1.8"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,527","±96","25.9%","±1.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","15","±23","0.3%","±0.4"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,111","±163","35.8%","±2.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","250","±152","4.2%","±2.6"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","75","±52","1.3%","±0.9"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,332","±251","2,332","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","648","±229","27.8%","±7.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,606","±99","68.9%","±7.1"
"        Separated","37,600","±1,670","1.3%","±0.1","4","±6","0.2%","±0.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","8","±14","0.3%","±0.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","66","±45","2.8%","±2.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","2,372","±184","2,372","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","459","±201","19.4%","±7.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,601","±77","67.5%","±6.7"
"        Separated","55,256","±1,859","1.8%","±0.1","48","±48","2.0%","±2.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","144","±58","6.1%","±2.4"
"        Divorced","324,764","±4,024","10.7%","±0.1","120","±52","5.1%","±2.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","36","±31","36","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±19","0.0%","±54.8"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±84","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","32","±27","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±191","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","69","±80","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","22","±29","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","75","±55","75","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","30","±43","40.0%","±41.3"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±19","0.0%","±38.0"
"            1 or 2 years","6,316","±677","5.0%","±0.5","30","±43","40.0%","±41.3"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±19","0.0%","±38.0"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±19","0.0%","±38.0"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","30","±43","30","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","30","±43","100.0%","±60.1"
"        Who are married","19,550","±1,487","64.5%","±2.5","30","±43","100.0%","±60.1"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,784","±177","1,784","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","39","±33","2.2%","±1.9"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","86","±54","4.8%","±3.1"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","751","±144","42.1%","±8.8"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","512","±189","28.7%","±9.6"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","396","±174","22.2%","±9.1"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","3,732","±152","3,732","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","17","±19","0.5%","±0.5"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","21","±15","0.6%","±0.4"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","170","±63","4.6%","±1.7"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","205","±112","5.5%","±3.0"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","99","±58","2.7%","±1.5"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","1,137","±170","30.5%","±4.6"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","2,083","±245","55.8%","±6.0"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","3,694","±148","99.0%","±0.7"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","3,220","±204","86.3%","±4.4"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","4,226","±163","4,226","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","130","±69","3.1%","±1.6"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","5,894","±22","5,894","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","389","±140","6.6%","±2.4"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","1,668","±164","1,668","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","54","±37","3.2%","±2.2"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","3,258","±193","3,258","(X)"
