"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01351!!Estimate","ZCTA5 01351!!Margin of Error","ZCTA5 01351!!Percent","ZCTA5 01351!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,046","±142","1,046","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","480","±108","45.9%","±9.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","136","±69","13.0%","±6.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","250","±128","23.9%","±11.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","107","±73","10.2%","±7.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","144","±76","13.8%","±6.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±3.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","115","±65","11.0%","±6.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","35","±26","3.3%","±2.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","172","±79","16.4%","±7.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","21","±20","2.0%","±2.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","141","±77","13.5%","±7.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","77","±51","7.4%","±4.9"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","271","±90","25.9%","±8.8"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","324","±80","31.0%","±6.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.60","±0.41","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.98","±0.45","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","2,720","±436","2,720","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,046","±142","38.5%","±6.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","460","±107","16.9%","±4.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","298","±167","11.0%","±5.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","741","±272","27.2%","±7.5"
"        Other relatives","394,812","±8,541","5.9%","±0.1","75","±86","2.8%","±3.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","100","±70","3.7%","±2.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,050","±173","1,050","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","358","±134","34.1%","±10.9"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","475","±134","45.2%","±11.8"
"        Separated","37,600","±1,670","1.3%","±0.1","37","±49","3.5%","±4.6"
"        Widowed","65,484","±1,934","2.3%","±0.1","17","±21","1.6%","±2.0"
"        Divorced","227,113","±4,005","8.0%","±0.1","163","±89","15.5%","±8.1"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,202","±245","1,202","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","411","±204","34.2%","±11.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","496","±108","41.3%","±12.8"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±3.3"
"        Widowed","239,073","±3,906","7.9%","±0.1","146","±94","12.1%","±6.9"
"        Divorced","324,764","±4,024","10.7%","±0.1","149","±80","12.4%","±6.7"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","24","±30","24","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","24","±30","100.0%","±67.2"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","49","±69","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","35","±46","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±238","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","0","±167","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","74","±92","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","11","±20","11","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","11","±20","100.0%","±99.2"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","0.0%","±99.2"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±99.2"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±99.2"
"            5 or more years","13,647","±1,024","10.9%","±0.8","11","±20","100.0%","±99.2"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","11","±20","11","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","7","±13","63.6%","±19.8"
"        Who are married","19,550","±1,487","64.5%","±2.5","11","±20","100.0%","±99.2"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","595","±214","595","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","59","±56","9.9%","±7.4"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","22","±24","3.7%","±4.2"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","264","±108","44.4%","±13.8"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","175","±100","29.4%","±11.7"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","75","±65","12.6%","±11.3"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","2,051","±297","2,051","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","54","±59","2.6%","±2.9"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","71","±80","3.5%","±3.9"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","600","±225","29.3%","±9.8"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","288","±127","14.0%","±5.5"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","214","±100","10.4%","±5.0"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","463","±176","22.6%","±7.4"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","361","±110","17.6%","±5.6"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","1,926","±297","93.9%","±4.0"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","824","±209","40.2%","±8.8"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","2,115","±308","2,115","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","188","±89","8.9%","±4.2"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","2,725","±438","2,725","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","420","±182","15.4%","±6.5"
