"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01985!!Estimate","ZCTA5 01985!!Margin of Error","ZCTA5 01985!!Percent","ZCTA5 01985!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,591","±90","1,591","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,219","±121","76.6%","±6.6"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","394","±75","24.8%","±5.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","185","±80","11.6%","±5.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","63","±54","4.0%","±3.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","15","±15","0.9%","±1.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±2.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","15","±15","0.9%","±1.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","15","±15","0.9%","±1.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","172","±79","10.8%","±4.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","30","±32","1.9%","±2.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","126","±66","7.9%","±4.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","56","±43","3.5%","±2.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","507","±91","31.9%","±6.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","551","±101","34.6%","±5.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.82","±0.16","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.97","±0.19","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","4,492","±21","4,492","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,591","±90","35.4%","±2.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,153","±97","25.7%","±2.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","187","±81","4.2%","±1.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,403","±146","31.2%","±3.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","72","±46","1.6%","±1.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","86","±68","1.9%","±1.5"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,961","±127","1,961","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","585","±124","29.8%","±5.4"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,251","±119","63.8%","±5.8"
"        Separated","37,600","±1,670","1.3%","±0.1","10","±16","0.5%","±0.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","0","±13","0.0%","±2.0"
"        Divorced","227,113","±4,005","8.0%","±0.1","115","±69","5.9%","±3.5"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,864","±108","1,864","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","394","±119","21.1%","±5.7"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,194","±101","64.1%","±5.9"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±2.1"
"        Widowed","239,073","±3,906","7.9%","±0.1","83","±45","4.5%","±2.3"
"        Divorced","324,764","±4,024","10.7%","±0.1","193","±75","10.4%","±4.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","8","±13","8","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±100.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±94","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","10","±17","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±235","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","31","±51","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±101","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","24","±26","24","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","5","±12","20.8%","±50.1"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","0.0%","±67.2"
"            1 or 2 years","6,316","±677","5.0%","±0.5","5","±12","20.8%","±50.1"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±67.2"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","0.0%","±67.2"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","5","±12","5","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","2","±7","40.0%","±54.9"
"        Who are married","19,550","±1,487","64.5%","±2.5","5","±12","100.0%","±100.0"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,133","±154","1,133","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","86","±60","7.6%","±5.0"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","0","±13","0.0%","±3.5"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","460","±143","40.6%","±12.0"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","283","±117","25.0%","±10.5"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","304","±129","26.8%","±10.1"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","3,268","±142","3,268","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","9","±13","0.3%","±0.4"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","73","±64","2.2%","±2.0"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","382","±106","11.7%","±3.3"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","487","±188","14.9%","±5.6"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","238","±104","7.3%","±3.1"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","1,173","±197","35.9%","±5.6"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","906","±156","27.7%","±4.9"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","3,186","±161","97.5%","±1.9"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","2,079","±192","63.6%","±5.4"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","3,609","±126","3,609","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","254","±122","7.0%","±3.3"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","4,500","±17","4,500","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","505","±198","11.2%","±4.4"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","891","±127","891","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","9","±14","1.0%","±1.6"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","2,752","±189","2,752","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","267","±176","9.7%","±6.2"
"    65 years and over","1,122,280","±664","1,122,280","(X)","857","±170","857","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","229","±107","26.7%","±9.7"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","4,489","±23","4,489","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","4,105","±243","91.4%","±5.4"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","384","±241","8.6%","±5.4"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","384","±241","8.6%","±5.4"
"                Same county","446,141","±8,933","6.4%","±0.1","232","±226","5.2%","±5.0"
"                Different county","354,693","±6,215","5.1%","±0.1","152","±93","3.4%","±2.1"
"                    Same state","205,752","±5,091","3.0%","±0.1","44","±69","1.0%","±1.5"
"                    Different state","148,941","±3,990","2.2%","±0.1","108","±75","2.4%","±1.7"
"            Abroad","61,536","±2,941","0.9%","±0.1","0","±13","0.0%","±0.9"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","4,500","±17","4,500","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","4,238","±93","94.2%","±2.1"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","4,211","±96","93.6%","±2.1"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","2,827","±245","62.8%","±5.5"
