"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01434!!Estimate","ZCTA5 01434!!Margin of Error","ZCTA5 01434!!Percent","ZCTA5 01434!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","315","±103","315","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","168","±91","53.3%","±22.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","121","±71","38.4%","±20.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","28","±39","8.9%","±12.4"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","28","±39","8.9%","±12.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","99","±79","31.4%","±22.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","35","±41","11.1%","±13.1"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","8","±14","2.5%","±4.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","0","±13","0.0%","±11.9"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","20","±30","6.3%","±9.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","14","±29","4.4%","±9.4"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","6","±9","1.9%","±2.8"
"                65 years and over","221,896","±3,548","8.2%","±0.1","0","±13","0.0%","±11.9"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","198","±91","62.9%","±25.8"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","56","±69","17.8%","±20.1"
"        Average household size","2.48","±0.01","(X)","(X)","3.41","±0.44","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.42","±0.46","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,075","±381","1,075","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","315","±103","29.3%","±3.8"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","165","±87","15.3%","±6.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","33","±46","3.1%","±4.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","444","±198","41.3%","±11.9"
"        Other relatives","394,812","±8,541","5.9%","±0.1","118","±147","11.0%","±12.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","0","±13","0.0%","±3.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,580","±331","1,580","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","681","±233","43.1%","±8.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","523","±154","33.1%","±6.5"
"        Separated","37,600","±1,670","1.3%","±0.1","43","±44","2.7%","±2.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","32","±29","2.0%","±1.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","301","±127","19.1%","±9.3"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","441","±171","441","(X)"
