"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02191!!Estimate","ZCTA5 02191!!Margin of Error","ZCTA5 02191!!Percent","ZCTA5 02191!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,444","±230","3,444","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,565","±204","45.4%","±4.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","431","±120","12.5%","±3.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","222","±90","6.4%","±2.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","75","±62","2.2%","±1.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","668","±133","19.4%","±3.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","31","±45","0.9%","±1.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","456","±117","13.2%","±3.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","103","±50","3.0%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","989","±176","28.7%","±4.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","24","±25","0.7%","±0.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","690","±161","20.0%","±4.2"
"                65 years and over","221,896","±3,548","8.2%","±0.1","275","±76","8.0%","±2.3"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","652","±120","18.9%","±3.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,389","±188","40.3%","±4.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.26","±0.12","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.87","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","7,794","±641","7,794","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","3,444","±230","44.2%","±2.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,623","±219","20.8%","±2.0"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","202","±81","2.6%","±1.1"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,796","±263","23.0%","±2.5"
"        Other relatives","394,812","±8,541","5.9%","±0.1","464","±158","6.0%","±1.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","265","±148","3.4%","±1.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","3,439","±307","3,439","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,161","±199","33.8%","±4.4"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,785","±216","51.9%","±4.8"
"        Separated","37,600","±1,670","1.3%","±0.1","27","±30","0.8%","±0.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","156","±80","4.5%","±2.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","310","±88","9.0%","±2.6"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","3,398","±307","3,398","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","973","±196","28.6%","±5.1"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,701","±239","50.1%","±4.8"
"        Separated","55,256","±1,859","1.8%","±0.1","14","±21","0.4%","±0.6"
"        Widowed","239,073","±3,906","7.9%","±0.1","416","±104","12.2%","±3.0"
"        Divorced","324,764","±4,024","10.7%","±0.1","294","±91","8.7%","±2.7"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","102","±72","102","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±19","0.0%","±31.3"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±55","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","80","±52","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±217","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","139","±102","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","41","±49","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","98","±62","98","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","11","±17","11.2%","±15.2"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±19","0.0%","±32.2"
"            1 or 2 years","6,316","±677","5.0%","±0.5","11","±17","11.2%","±15.2"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±19","0.0%","±32.2"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±19","0.0%","±32.2"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","11","±17","11","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±19","0.0%","±99.2"
"        Who are married","19,550","±1,487","64.5%","±2.5","11","±17","100.0%","±99.2"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,344","±275","1,344","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","27","±34","2.0%","±2.6"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","34","±41","2.5%","±2.9"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","514","±186","38.2%","±9.6"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","350","±103","26.0%","±7.6"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","419","±137","31.2%","±7.6"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","6,148","±494","6,148","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","165","±95","2.7%","±1.5"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","199","±81","3.2%","±1.3"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","1,777","±323","28.9%","±4.4"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","915","±188","14.9%","±2.8"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","537","±152","8.7%","±2.4"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","1,760","±265","28.6%","±4.0"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","795","±211","12.9%","±3.3"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","5,784","±481","94.1%","±1.9"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","2,555","±337","41.6%","±4.7"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","6,683","±502","6,683","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","411","±103","6.1%","±1.5"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","7,856","±641","7,856","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","950","±202","12.1%","±2.3"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","1,173","±225","1,173","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","47","±41","4.0%","±3.5"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","4,791","±384","4,791","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","346","±111","7.2%","±2.3"
"    65 years and over","1,122,280","±664","1,122,280","(X)","1,892","±291","1,892","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","557","±146","29.4%","±5.9"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","7,753","±625","7,753","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","7,172","±634","92.5%","±2.8"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","581","±218","7.5%","±2.8"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","509","±183","6.6%","±2.4"
"                Same county","446,141","±8,933","6.4%","±0.1","138","±92","1.8%","±1.2"
"                Different county","354,693","±6,215","5.1%","±0.1","371","±163","4.8%","±2.1"
"                    Same state","205,752","±5,091","3.0%","±0.1","258","±147","3.3%","±1.9"
"                    Different state","148,941","±3,990","2.2%","±0.1","113","±90","1.5%","±1.2"
"            Abroad","61,536","±2,941","0.9%","±0.1","72","±94","0.9%","±1.2"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","7,856","±641","7,856","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","7,014","±580","89.3%","±2.7"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","6,884","±570","87.6%","±2.9"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","5,970","±506","76.0%","±3.6"
"                Different state","1,398,292","±9,460","20.0%","±0.1","914","±231","11.6%","±2.7"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","130","±74","1.7%","±0.9"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","842","±235","10.7%","±2.7"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
