"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01890!!Estimate","ZCTA5 01890!!Margin of Error","ZCTA5 01890!!Percent","ZCTA5 01890!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","8,149","±327","8,149","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","5,145","±271","63.1%","±3.3"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,838","±204","34.8%","±2.9"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","344","±171","4.2%","±2.1"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","124","±84","1.5%","±1.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","638","±178","7.8%","±2.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","62","±55","0.8%","±0.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","453","±139","5.6%","±1.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","233","±104","2.9%","±1.2"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,022","±277","24.8%","±2.9"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","296","±130","3.6%","±1.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,382","±286","17.0%","±3.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","981","±244","12.0%","±2.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,383","±191","41.5%","±2.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,792","±275","34.3%","±2.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.77","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.33","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","22,574","±141","22,574","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","8,149","±327","36.1%","±1.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","5,140","±262","22.8%","±1.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","338","±162","1.5%","±0.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","7,977","±383","35.3%","±1.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","824","±244","3.7%","±1.1"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","146","±86","0.6%","±0.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","8,184","±367","8,184","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,115","±390","25.8%","±4.1"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","5,510","±297","67.3%","±4.0"
"        Separated","37,600","±1,670","1.3%","±0.1","71","±52","0.9%","±0.6"
"        Widowed","65,484","±1,934","2.3%","±0.1","121","±67","1.5%","±0.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","367","±135","4.5%","±1.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","9,560","±412","9,560","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,168","±329","22.7%","±2.9"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","5,433","±256","56.8%","±3.8"
"        Separated","55,256","±1,859","1.8%","±0.1","30","±35","0.3%","±0.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","974","±220","10.2%","±2.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","955","±279","10.0%","±2.8"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","194","±101","194","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","23","±36","11.9%","±17.8"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","11","±17","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","40","±21","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±52","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","43","±34","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","48","±32","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","370","±118","370","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","85","±67","23.0%","±14.8"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±25","0.0%","±10.2"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±25","0.0%","±10.2"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±25","0.0%","±10.2"
"            5 or more years","13,647","±1,024","10.9%","±0.8","85","±67","23.0%","±14.8"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","85","±67","85","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","64","±54","75.3%","±19.8"
"        Who are married","19,550","±1,487","64.5%","±2.5","72","±64","84.7%","±25.1"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","6,812","±318","6,812","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","875","±263","12.8%","±3.8"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","378","±109","5.5%","±1.6"
