"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02050!!Estimate","ZCTA5 02050!!Margin of Error","ZCTA5 02050!!Percent","ZCTA5 02050!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","10,142","±363","10,142","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","5,756","±379","56.8%","±4.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,258","±265","22.3%","±2.9"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","700","±294","6.9%","±2.8"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","93","±85","0.9%","±0.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,381","±342","13.6%","±3.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","60","±53","0.6%","±0.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","808","±225","8.0%","±2.1"
"                65 years and over","102,147","±2,741","3.8%","±0.1","404","±162","4.0%","±1.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,305","±377","22.7%","±3.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","286","±169","2.8%","±1.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,352","±289","13.3%","±2.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","856","±221","8.4%","±2.1"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,931","±307","28.9%","±3.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,672","±383","36.2%","±3.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.54","±0.09","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.00","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","25,734","±80","25,734","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","10,142","±363","39.4%","±1.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","5,871","±417","22.8%","±1.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","646","±244","2.5%","±0.9"
"        Child","1,898,296","±5,188","28.1%","±0.1","7,915","±608","30.8%","±2.4"
"        Other relatives","394,812","±8,541","5.9%","±0.1","798","±337","3.1%","±1.3"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","362","±156","1.4%","±0.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","10,774","±537","10,774","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","3,310","±494","30.7%","±3.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","6,104","±354","56.7%","±4.1"
"        Separated","37,600","±1,670","1.3%","±0.1","46","±55","0.4%","±0.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","353","±182","3.3%","±1.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","961","±311","8.9%","±2.9"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","10,841","±452","10,841","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,661","±443","24.5%","±3.5"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","6,102","±379","56.3%","±4.1"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±25","0.0%","±0.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","797","±231","7.4%","±2.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,281","±283","11.8%","±2.5"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","281","±145","281","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","12","±19","4.3%","±6.7"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","4","±7","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","52","±27","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±52","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","22","±22","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","82","±46","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","364","±173","364","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","83","±64","22.8%","±15.2"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±25","0.0%","±10.4"
"            1 or 2 years","6,316","±677","5.0%","±0.5","5","±8","1.4%","±2.2"
"            3 or 4 years","5,630","±671","4.5%","±0.5","13","±24","3.6%","±6.2"
"            5 or more years","13,647","±1,024","10.9%","±0.8","65","±59","17.9%","±15.1"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","83","±64","83","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","41","±34","49.4%","±25.4"
"        Who are married","19,550","±1,487","64.5%","±2.5","64","±56","77.1%","±34.8"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","5,439","±470","5,439","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","391","±181","7.2%","±3.4"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","273","±133","5.0%","±2.5"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","2,291","±346","42.1%","±4.9"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,340","±250","24.6%","±4.2"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","1,144","±256","21.0%","±3.9"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","18,474","±668","18,474","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","143","±183","0.8%","±1.0"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","341","±157","1.8%","±0.8"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","3,577","±586","19.4%","±3.1"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","3,272","±512","17.7%","±2.6"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","1,567","±381","8.5%","±2.0"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","5,994","±624","32.4%","±3.3"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","3,580","±509","19.4%","±2.9"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","17,990","±673","97.4%","±1.3"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","9,574","±723","51.8%","±4.0"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","20,568","±611","20,568","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","1,159","±279","5.6%","±1.3"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","25,815","±84","25,815","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","2,801","±505","10.9%","±2.0"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","5,273","±600","5,273","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","183","±155","3.5%","±3.0"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","15,744","±671","15,744","(X)"
