"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01844!!Estimate","ZCTA5 01844!!Margin of Error","ZCTA5 01844!!Percent","ZCTA5 01844!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","18,792","±515","18,792","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","9,501","±497","50.6%","±2.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","3,627","±386","19.3%","±2.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,185","±252","6.3%","±1.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","410","±163","2.2%","±0.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","2,644","±387","14.1%","±1.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","357","±166","1.9%","±0.9"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,587","±293","8.4%","±1.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","629","±164","3.3%","±0.9"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","5,462","±497","29.1%","±2.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,215","±272","6.5%","±1.4"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,570","±348","13.7%","±1.8"
"                65 years and over","221,896","±3,548","8.2%","±0.1","1,452","±269","7.7%","±1.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","6,251","±412","33.3%","±2.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","6,234","±515","33.2%","±2.5"
"        Average household size","2.48","±0.01","(X)","(X)","2.77","±0.08","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.24","±0.09","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","52,034","±158","52,034","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","18,792","±515","36.1%","±1.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","9,794","±508","18.8%","±1.0"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,310","±298","2.5%","±0.6"
"        Child","1,898,296","±5,188","28.1%","±0.1","16,764","±647","32.2%","±1.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","3,974","±592","7.6%","±1.1"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","1,400","±392","2.7%","±0.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","20,722","±866","20,722","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","8,035","±757","38.8%","±2.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","10,225","±480","49.3%","±2.7"
"        Separated","37,600","±1,670","1.3%","±0.1","323","±184","1.6%","±0.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","427","±126","2.1%","±0.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,712","±319","8.3%","±1.5"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","22,963","±779","22,963","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","7,531","±632","32.8%","±2.1"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","10,371","±507","45.2%","±2.3"
"        Separated","55,256","±1,859","1.8%","±0.1","568","±192","2.5%","±0.8"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,732","±300","7.5%","±1.2"
"        Divorced","324,764","±4,024","10.7%","±0.1","2,761","±402","12.0%","±1.7"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","471","±141","471","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","121","±89","25.7%","±15.8"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","16","±12","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","37","±11","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±21","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","57","±24","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","32","±13","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","1,100","±332","1,100","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","281","±189","25.5%","±14.7"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±31","0.0%","±3.6"
"            1 or 2 years","6,316","±677","5.0%","±0.5","70","±75","6.4%","±6.5"
"            3 or 4 years","5,630","±671","4.5%","±0.5","54","±71","4.9%","±6.5"
"            5 or more years","13,647","±1,024","10.9%","±0.8","157","±148","14.3%","±12.2"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","281","±189","281","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","163","±114","58.0%","±15.6"
"        Who are married","19,550","±1,487","64.5%","±2.5","268","±189","95.4%","±8.9"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","13,154","±869","13,154","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","505","±193","3.8%","±1.4"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","807","±223","6.1%","±1.7"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","5,155","±618","39.2%","±3.9"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","3,095","±384","23.5%","±2.5"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","3,592","±553","27.3%","±3.6"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","36,290","±739","36,290","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","2,146","±427","5.9%","±1.2"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","1,922","±349","5.3%","±1.0"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","10,304","±846","28.4%","±2.2"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","7,561","±784","20.8%","±2.1"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","3,462","±552","9.5%","±1.5"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","7,038","±627","19.4%","±1.7"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","3,857","±530","10.6%","±1.4"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","32,222","±902","88.8%","±1.4"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","10,895","±857","30.0%","±2.3"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","41,302","±724","41,302","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","1,825","±283","4.4%","±0.7"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","52,187","±124","52,187","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","6,003","±616","11.5%","±1.2"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","11,171","±736","11,171","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","597","±173","5.3%","±1.6"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","32,666","±749","32,666","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","2,856","±431","8.7%","±1.3"
"    65 years and over","1,122,280","±664","1,122,280","(X)","8,350","±703","8,350","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","2,550","±438","30.5%","±4.5"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","52,103","±182","52,103","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","47,028","±925","90.3%","±1.8"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","5,075","±949","9.7%","±1.8"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","4,600","±898","8.8%","±1.7"
"                Same county","446,141","±8,933","6.4%","±0.1","3,060","±652","5.9%","±1.2"
"                Different county","354,693","±6,215","5.1%","±0.1","1,540","±528","3.0%","±1.0"
"                    Same state","205,752","±5,091","3.0%","±0.1","1,035","±414","2.0%","±0.8"
"                    Different state","148,941","±3,990","2.2%","±0.1","505","±348","1.0%","±0.7"
"            Abroad","61,536","±2,941","0.9%","±0.1","475","±296","0.9%","±0.6"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","52,502","±88","52,502","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","40,562","±1,162","77.3%","±2.2"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","38,753","±1,180","73.8%","±2.2"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","32,718","±1,051","62.3%","±2.0"
"                Different state","1,398,292","±9,460","20.0%","±0.1","6,035","±796","11.5%","±1.5"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","1,809","±453","3.4%","±0.9"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","11,940","±1,160","22.7%","±2.2"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","11,940","±1,160","11,940","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","7,928","±846","66.4%","±4.9"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","4,012","±772","33.6%","±4.9"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","13,749","±1,178","13,749","(X)"
"        Native","209,292","±4,176","209,292","(X)","1,809","±453","1,809","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","364","±208","20.1%","±9.0"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","1,445","±344","79.9%","±9.0"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","11,940","±1,160","11,940","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","2,845","±687","23.8%","±4.7"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","9,095","±912","76.2%","±4.7"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","11,940","±1,160","11,940","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","813","±270","6.8%","±2.2"
"        Asia","372,717","±3,581","30.8%","±0.3","2,445","±618","20.5%","±5.2"
"        Africa","113,823","±3,313","9.4%","±0.3","666","±389","5.6%","±3.2"
"        Oceania","4,098","±490","0.3%","±0.1","7","±12","0.1%","±0.1"
"        Latin America","456,601","±7,328","37.7%","±0.5","7,872","±1,092","65.9%","±5.7"
"        Northern America","28,855","±1,370","2.4%","±0.1","137","±65","1.1%","±0.6"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","50,185","±441","50,185","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","31,609","±1,399","63.0%","±2.7"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","18,576","±1,390","37.0%","±2.7"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","6,433","±944","12.8%","±1.9"
"        Spanish","623,189","±4,858","9.4%","±0.1","12,755","±1,284","25.4%","±2.6"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","4,325","±754","8.6%","±1.5"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","3,079","±1,047","6.1%","±2.1"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","1,166","±668","2.3%","±1.3"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","1,347","±436","2.7%","±0.9"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","624","±201","1.2%","±0.4"
"        Other languages","99,560","±3,943","1.5%","±0.1","1,395","±487","2.8%","±1.0"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","318","±131","0.6%","±0.3"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","52,502","±88","52,502","(X)"
"        American","260,364","±6,504","3.7%","±0.1","1,025","±377","2.0%","±0.7"
"        Arab","72,487","±3,641","1.0%","±0.1","1,766","±460","3.4%","±0.9"
"        Czech","12,119","±1,098","0.2%","±0.1","42","±46","0.1%","±0.1"
"        Danish","14,346","±1,162","0.2%","±0.1","29","±25","0.1%","±0.1"
"        Dutch","34,354","±1,922","0.5%","±0.1","81","±85","0.2%","±0.2"
"        English","655,283","±8,406","9.4%","±0.1","3,356","±486","6.4%","±0.9"
"        French (except Basque)","375,415","±6,388","5.4%","±0.1","3,476","±590","6.6%","±1.1"
"        French Canadian","235,524","±4,384","3.4%","±0.1","2,637","±534","5.0%","±1.0"
"        German","387,135","±7,027","5.5%","±0.1","1,936","±358","3.7%","±0.7"
"        Greek","76,566","±3,218","1.1%","±0.1","412","±185","0.8%","±0.4"
"        Hungarian","19,068","±1,432","0.3%","±0.1","128","±82","0.2%","±0.2"
"        Irish","1,345,219","±11,619","19.2%","±0.2","7,474","±793","14.2%","±1.5"
"        Italian","815,794","±9,186","11.7%","±0.1","7,435","±847","14.2%","±1.6"
"        Lithuanian","43,215","±2,035","0.6%","±0.1","405","±155","0.8%","±0.3"
"        Norwegian","35,032","±1,997","0.5%","±0.1","266","±151","0.5%","±0.3"
"        Polish","283,050","±4,814","4.0%","±0.1","1,837","±479","3.5%","±0.9"
"        Portuguese","270,183","±5,260","3.9%","±0.1","1,103","±401","2.1%","±0.8"
"        Russian","91,511","±3,161","1.3%","±0.1","328","±177","0.6%","±0.3"
"        Scotch-Irish","41,714","±2,151","0.6%","±0.1","159","±90","0.3%","±0.2"
"        Scottish","134,503","±3,385","1.9%","±0.1","887","±351","1.7%","±0.7"
"        Slovak","7,069","±828","0.1%","±0.1","0","±31","0.0%","±0.1"
"        Subsaharan African","158,921","±4,752","2.3%","±0.1","810","±357","1.5%","±0.7"
"        Swedish","102,031","±2,873","1.5%","±0.1","371","±157","0.7%","±0.3"
"        Swiss","10,126","±912","0.1%","±0.1","20","±21","0.0%","±0.1"
"        Ukrainian","24,760","±1,792","0.4%","±0.1","70","±64","0.1%","±0.1"
"        Welsh","23,388","±1,506","0.3%","±0.1","52","±41","0.1%","±0.1"
"        West Indian (excluding Hispanic origin groups)","139,627","±4,694","2.0%","±0.1","1,346","±756","2.6%","±1.4"
"COMPUTERS AND INTERNET USE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","18,792","±515","18,792","(X)"
"        With a computer","2,538,022","±5,269","93.5%","±0.1","17,637","±526","93.9%","±1.4"
"        With a broadband Internet subscription","2,431,466","±6,695","89.6%","±0.2","17,077","±483","90.9%","±1.7"
