"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01908!!Estimate","ZCTA5 01908!!Margin of Error","ZCTA5 01908!!Percent","ZCTA5 01908!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,678","±172","1,678","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","707","±99","42.1%","±9.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","186","±76","11.1%","±5.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","130","±71","7.7%","±4.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","26","±37","1.5%","±2.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","173","±60","10.3%","±3.4"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","6","±10","0.4%","±0.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","136","±53","8.1%","±3.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","73","±39","4.4%","±2.3"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","668","±232","39.8%","±10.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","33","±29","2.0%","±1.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","557","±229","33.2%","±10.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","261","±144","15.6%","±7.9"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","259","±65","15.4%","±4.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","755","±160","45.0%","±8.5"
"        Average household size","2.48","±0.01","(X)","(X)","1.97","±0.20","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.69","±0.18","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","3,305","±71","3,305","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,678","±172","50.8%","±5.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","708","±98","21.4%","±2.9"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","113","±60","3.4%","±1.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","698","±132","21.1%","±3.9"
"        Other relatives","394,812","±8,541","5.9%","±0.1","74","±37","2.2%","±1.1"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","34","±25","1.0%","±0.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,244","±125","1,244","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","368","±80","29.6%","±5.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","717","±104","57.6%","±6.4"
"        Separated","37,600","±1,670","1.3%","±0.1","14","±19","1.1%","±1.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","32","±23","2.6%","±1.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","113","±51","9.1%","±4.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,854","±155","1,854","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","669","±200","36.1%","±8.9"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","700","±93","37.8%","±7.3"
"        Separated","55,256","±1,859","1.8%","±0.1","26","±21","1.4%","±1.2"
"        Widowed","239,073","±3,906","7.9%","±0.1","179","±85","9.7%","±4.5"
