"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01342!!Estimate","ZCTA5 01342!!Margin of Error","ZCTA5 01342!!Percent","ZCTA5 01342!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","343","±99","343","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","219","±89","63.8%","±18.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","66","±44","19.2%","±13.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","51","±47","14.9%","±13.8"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","37","±41","10.8%","±11.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","11","±17","3.2%","±5.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±11.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","11","±17","3.2%","±5.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","11","±17","3.2%","±5.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","62","±48","18.1%","±12.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","24","±28","7.0%","±8.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","38","±44","11.1%","±12.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","19","±32","5.5%","±9.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","127","±67","37.0%","±18.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","96","±62","28.0%","±16.5"
"        Average household size","2.48","±0.01","(X)","(X)","2.65","±0.36","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.88","±0.39","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","909","±260","909","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","343","±99","37.7%","±5.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","234","±93","25.7%","±7.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","41","±41","4.5%","±4.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","291","±133","32.0%","±9.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","0","±13","0.0%","±4.3"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","0","±13","0.0%","±4.3"
"MARITAL STATUS","","","","","","","",""
