"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01516!!Estimate","ZCTA5 01516!!Margin of Error","ZCTA5 01516!!Percent","ZCTA5 01516!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,179","±215","3,179","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,199","±217","69.2%","±6.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","894","±160","28.1%","±4.7"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","312","±154","9.8%","±4.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","131","±124","4.1%","±4.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","271","±124","8.5%","±3.8"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±19","0.0%","±1.2"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","237","±119","7.5%","±3.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","54","±58","1.7%","±1.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","397","±154","12.5%","±4.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","57","±90","1.8%","±2.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","295","±126","9.3%","±3.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","142","±88","4.5%","±2.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,178","±167","37.1%","±5.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","732","±167","23.0%","±5.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.89","±0.18","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.27","±0.22","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","9,186","±343","9,186","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","3,179","±215","34.6%","±2.2"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,223","±208","24.2%","±2.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","332","±170","3.6%","±1.9"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,925","±288","31.8%","±2.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","377","±256","4.1%","±2.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","150","±140","1.6%","±1.5"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","3,705","±269","3,705","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,300","±253","35.1%","±6.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,223","±219","60.0%","±5.7"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±19","0.0%","±1.1"
"        Widowed","65,484","±1,934","2.3%","±0.1","13","±20","0.4%","±0.5"
"        Divorced","227,113","±4,005","8.0%","±0.1","169","±105","4.6%","±2.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","3,997","±316","3,997","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,197","±291","29.9%","±6.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,243","±216","56.1%","±6.1"
"        Separated","55,256","±1,859","1.8%","±0.1","23","±35","0.6%","±0.9"
"        Widowed","239,073","±3,906","7.9%","±0.1","232","±118","5.8%","±3.0"
"        Divorced","324,764","±4,024","10.7%","±0.1","302","±179","7.6%","±4.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","57","±67","57","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","28","±46","49.1%","±50.9"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","20","±33","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","24","±29","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±85","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","34","±58","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","26","±45","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","192","±202","192","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±19","0.0%","±18.7"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±19","0.0%","±18.7"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±19","0.0%","±18.7"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±19","0.0%","±18.7"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±19","0.0%","±18.7"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","0","±19","0","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±19","-","**"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±19","-","**"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","2,384","±374","2,384","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","76","±55","3.2%","±2.4"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","228","±162","9.6%","±6.2"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","870","±235","36.5%","±8.8"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","789","±262","33.1%","±11.2"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","421","±180","17.7%","±6.1"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","6,146","±335","6,146","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","69","±65","1.1%","±1.1"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","61","±59","1.0%","±1.0"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","1,771","±386","28.8%","±6.2"
