"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01068!!Estimate","ZCTA5 01068!!Margin of Error","ZCTA5 01068!!Percent","ZCTA5 01068!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","625","±49","625","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","404","±47","64.6%","±5.3"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","113","±24","18.1%","±4.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","37","±13","5.9%","±1.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","5","±8","0.8%","±1.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","94","±29","15.0%","±4.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","10","±8","1.6%","±1.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","65","±24","10.4%","±3.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","27","±14","4.3%","±2.2"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","90","±30","14.4%","±4.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","5","±8","0.8%","±1.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","46","±21","7.4%","±3.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","18","±10","2.9%","±1.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","142","±28","22.7%","±4.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","203","±22","32.5%","±2.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.58","±0.15","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.91","±0.17","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,611","±112","1,611","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","625","±49","38.8%","±2.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","412","±42","25.6%","±2.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","40","±13","2.5%","±0.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","453","±60","28.1%","±2.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","47","±25","2.9%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","34","±22","2.1%","±1.3"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","722","±73","722","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","201","±53","27.8%","±5.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","418","±44","57.9%","±6.3"
"        Separated","37,600","±1,670","1.3%","±0.1","8","±7","1.1%","±1.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","24","±17","3.3%","±2.4"
"        Divorced","227,113","±4,005","8.0%","±0.1","71","±27","9.8%","±3.5"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","722","±73","722","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","199","±49","27.6%","±5.1"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","417","±43","57.8%","±5.5"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±5.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","29","±13","4.0%","±1.8"
"        Divorced","324,764","±4,024","10.7%","±0.1","77","±26","10.7%","±3.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","5","±6","5","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±100.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±169","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","15","±19","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±369","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","39","±50","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±252","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","7","±9","7","(X)"
