"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01098!!Estimate","ZCTA5 01098!!Margin of Error","ZCTA5 01098!!Percent","ZCTA5 01098!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","510","±62","510","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","284","±50","55.7%","±7.6"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","33","±12","6.5%","±2.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","48","±25","9.4%","±4.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","9","±9","1.8%","±1.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","64","±26","12.5%","±5.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","3","±5","0.6%","±1.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","61","±25","12.0%","±4.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","13","±13","2.5%","±2.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","114","±40","22.4%","±7.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","4","±6","0.8%","±1.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","78","±26","15.3%","±5.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","27","±12","5.3%","±2.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","57","±19","11.2%","±3.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","239","±53","46.9%","±7.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.04","±0.13","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.43","±0.17","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,042","±126","1,042","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","510","±62","48.9%","±3.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","285","±47","27.4%","±3.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","46","±22","4.4%","±2.0"
