"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01431!!Estimate","ZCTA5 01431!!Margin of Error","ZCTA5 01431!!Percent","ZCTA5 01431!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,297","±81","1,297","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","826","±83","63.7%","±6.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","194","±50","15.0%","±4.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","127","±56","9.8%","±4.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","19","±17","1.5%","±1.3"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","181","±82","14.0%","±5.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","5","±8","0.4%","±0.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","145","±74","11.2%","±5.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","71","±62","5.5%","±4.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","163","±62","12.6%","±4.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","9","±15","0.7%","±1.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","102","±51","7.9%","±3.8"
"                65 years and over","221,896","±3,548","8.2%","±0.1","51","±33","3.9%","±2.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","269","±54","20.7%","±5.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","477","±81","36.8%","±5.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.46","±0.16","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.81","±0.17","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","3,189","±28","3,189","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,297","±81","40.7%","±2.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","825","±87","25.9%","±2.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","141","±71","4.4%","±2.2"
"        Child","1,898,296","±5,188","28.1%","±0.1","714","±108","22.4%","±3.3"
"        Other relatives","394,812","±8,541","5.9%","±0.1","149","±97","4.7%","±3.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","63","±50","2.0%","±1.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,454","±112","1,454","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","394","±98","27.1%","±5.4"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","879","±77","60.5%","±7.3"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±13","0.0%","±2.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","34","±24","2.3%","±1.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","147","±82","10.1%","±5.3"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,331","±93","1,331","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","253","±72","19.0%","±4.8"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","852","±82","64.0%","±6.6"
"        Separated","55,256","±1,859","1.8%","±0.1","16","±26","1.2%","±1.9"
"        Widowed","239,073","±3,906","7.9%","±0.1","98","±48","7.4%","±3.4"
"        Divorced","324,764","±4,024","10.7%","±0.1","112","±54","8.4%","±4.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","8","±13","8","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","8","±13","100.0%","±100.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","32","±54","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","14","±23","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±408","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","0","±217","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","23","±38","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","52","±40","52","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","8","±11","15.4%","±24.3"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","0.0%","±45.6"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±45.6"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±45.6"
"            5 or more years","13,647","±1,024","10.9%","±0.8","8","±11","15.4%","±24.3"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","8","±11","8","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","4","±6","50.0%","±19.1"
"        Who are married","19,550","±1,487","64.5%","±2.5","8","±11","100.0%","±100.0"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","617","±96","617","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","9","±11","1.5%","±1.8"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","25","±24","4.1%","±4.0"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","295","±67","47.8%","±7.7"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","105","±39","17.0%","±5.5"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","183","±53","29.7%","±7.4"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","2,512","±106","2,512","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","34","±21","1.4%","±0.8"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","141","±65","5.6%","±2.5"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","700","±119","27.9%","±4.7"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","366","±79","14.6%","±3.1"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","245","±68","9.8%","±2.8"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","552","±114","22.0%","±4.4"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","474","±130","18.9%","±5.0"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","2,337","±113","93.0%","±2.7"
