"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01603!!Estimate","ZCTA5 01603!!Margin of Error","ZCTA5 01603!!Percent","ZCTA5 01603!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","7,496","±510","7,496","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,559","±275","34.1%","±3.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","967","±188","12.9%","±2.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","782","±236","10.4%","±3.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","389","±172","5.2%","±2.3"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,738","±321","23.2%","±3.8"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","92","±74","1.2%","±1.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,094","±240","14.6%","±3.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","303","±119","4.0%","±1.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,417","±356","32.2%","±3.9"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","456","±135","6.1%","±1.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,276","±310","17.0%","±3.8"
"                65 years and over","221,896","±3,548","8.2%","±0.1","480","±128","6.4%","±1.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,126","±275","28.4%","±3.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,853","±244","24.7%","±3.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.59","±0.15","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.19","±0.16","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","19,435","±1,342","19,435","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","7,496","±510","38.6%","±2.2"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,551","±297","13.1%","±1.3"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","792","±226","4.1%","±1.1"
"        Child","1,898,296","±5,188","28.1%","±0.1","5,889","±735","30.3%","±2.7"
